ISO3,Countries and areas,Region,Sub-region,Development Regions,Total,Female,Male,Rural,Urban,Poorest,Second,Middle,Fourth,Richest,Data source,Time period,Population data,,,,,
PAN,Panama,LAC,LAC,Less Developed,4,3,4,7,2,9,4,3,0,1,MICS 2013,2013,78,40,38,25,52.50821732,68%
PNG,Papua New Guinea,EAP,EAP,Less Developed,,,,,,,,,,,,,211,109,102,183,27.78388184,13%
PRY,Paraguay,LAC,LAC,Less Developed,8,7,9,11,5,13,7,6,3,3,Encuesta Permanente de Hogares 2017,2017,137,70,67,53,84.28406366,62%
PER,Peru,LAC,LAC,Less Developed,7,7,7,9,6,13,7,6,4,3,DHS 2012,2012,524,265,259,116,408.3800187,78%
PHL,Philippines,EAP,EAP,Less Developed,4,3,5,4,4,9,5,2,2,2,DHS 2017,2017,2296,1179,1117,1219,1077.103639,47%
POL,Poland,ECA,WE,More Developed,,,,,,,,,,,,,381,195,186,152,228.8079586,60%
PRT,Portugal,ECA,WE,More Developed,,,,,,,,,,,,,86,44,42,30,56.09842469,65%
QAT,Qatar,MENA,MENA,Less Developed,3,3,2,,,,,,,,MICS 2012,2012,27,14,13,0,26.99057031,99%
KOR,Republic of Korea,EAP,EAP,Less Developed,,,,,,,,,,,,,450,231,219,83,366.4278658,81%
MDA,Republic of Moldova,ECA,EECA,More Developed,3,1,4,2,3,8,3,2,1,1,MICS 2012,2012,45,23,22,26,19.01615426,43%
ROU,Romania,ECA,EECA,More Developed,10,10,10,,,,,,,,Institute of Educational Sciences and UNICEF 2015-2016,2016,187,96,91,86,101.1350496,54%
RUS,Russian Federation,ECA,EECA,More Developed,,,,,,,,,,,,,1879,965,914,480,1398.255199,74%
RWA,Rwanda,SSA,ESA,Least Developed,26,26,26,26,24,34,29,24,21,24,DHS 2014-15,2015,335,168,167,278,57.717322,17%
KNA,Saint Kitts and Nevis,LAC,LAC,Less Developed,,,,,,,,,,,,,,,,0,0,31%
LCA,Saint Lucia,LAC,LAC,Less Developed,1,1,1,1,1,0,2,2,0,1,MICS 2012,2012,2,1,1,2,0.417251571,19%
VCT,Saint Vincent and the Grenadines,LAC,LAC,Less Developed,,,,,,,,,,,,,2,1,1,1,0.861786044,52%
WSM,Samoa,EAP,EAP,Less Developed,,,,,,,,,,,,,5,3,2,4,0.930041063,18%
SMR,San Marino,ECA,WE,More Developed,,,,,,,,,,,,,,,,0,0,97%
STP,Sao Tome and Principe,SSA,WCA,Least Developed,8,7,9,11,7,15,12,6,7,2,MICS 2014,2014,6,3,3,2,4.501416343,73%
SAU,Saudi Arabia,MENA,MENA,Less Developed,,,,,,,,,,,,,606,308,298,98,508.302101,84%
SEN,Senegal,SSA,WCA,Least Developed,39,36,42,50,25,57,47,39,34,17,DHS 2019,2019,496,252,245,262,234.2522016,47%
SRB,Serbia,ECA,EECA,More Developed,1,1,1,2,0,5,0,0,0,0,MICS 2014,2014,87,45,42,38,48.92717785,56%
SYC,Seychelles,SSA,ESA,Less Developed,,,,,,,,,,,,,2,1,1,1,0.911012999,57%
SLE,Sierra Leone,SSA,WCA,Least Developed,19,18,20,29,8,39,29,17,10,7,MICS 2017,2017,218,109,109,126,91.52008552,42%
SGP,Singapore,EAP,EAP,Less Developed,,,,,,,,,,,,,43,22,21,0,43.465,100%
SVK,Slovakia,ECA,WE,More Developed,,,,,,,,,,,,,56,29,28,26,30.26799733,54%
SVN,Slovenia,ECA,WE,More Developed,,,,,,,,,,,,,22,11,11,10,11.86532121,55%
SLB,Solomon Islands,EAP,EAP,Least Developed,,,,,,,,,,,,,19,10,9,15,4.569245717,24%
SOM,Somalia,SSA,ESA,Least Developed,,,,,,,,,,,,,494,249,245,272,221.9451491,45%
ZAF,South Africa,SSA,ESA,Less Developed,5,4,6,5,6,9,6,3,4,2,DHS 2016,2016,1170,592,578,393,776.0339578,66%
SSD,South Sudan,SSA,ESA,Least Developed,63,67,59,69,44,85,74,67,55,34,MICS 2010,2010,320,162,158,257,62.76406891,20%
ESP,Spain,ECA,WE,More Developed,,,,,,,,,,,,,432,222,210,85,347.0574219,80%
LKA,Sri Lanka,SA,SA,Less Developed,1,1,1,1,1,2,1,0,0,0,DHS 2016,2016,335,171,165,273,61.9778178,18%
PSE,State of Palestine,MENA,MENA,Less Developed,5,2,8,6,5,6,5,7,4,2,MICS 2014,2014,137,70,67,33,104.6058047,76%
SDN,Sudan,SSA,ESA,Least Developed,21,25,16,26,8,33,31,22,11,3,MICS 2014,2014,1182,599,582,772,409.30981,35%
SUR,Suriname,LAC,LAC,Less Developed,7,6,8,11,5,14,7,4,2,3,MICS 2018,2018,11,5,5,4,6.989759436,66%
SWE,Sweden,ECA,WE,More Developed,,,,,,,,,,,,,119,61,58,15,103.7116298,87%
CHE,Switzerland,ECA,WE,More Developed,,,,,,,,,,,,,87,44,42,23,63.84948064,74%
SYR,Syrian Arab Republic,MENA,MENA,Less Developed,,,,,,,,,,,,,345,176,169,158,186.6705623,54%
TJK,Tajikistan,ECA,EECA,Less Developed,3,4,1,3,2,4,3,2,2,2,DHS 2017,2017,245,126,119,179,66.51422789,27%
THA,Thailand,EAP,EAP,Less Developed,3,2,5,4,3,7,3,5,1,1,MICS 2019,2019,758,390,368,379,378.6289354,50%
TLS,Timor-Leste,EAP,EAP,Least Developed,9,8,10,10,5,16,11,8,5,3,DHS 2016,2016,31,16,15,22,9.506360062,31%
TGO,Togo,SSA,WCA,Least Developed,12,14,10,14,10,20,14,9,7,10,MICS 2017,2017,229,115,114,133,95.37667797,42%
TKL,Tokelau,EAP,EAP,Not Classified,,,,,,,,,,,,,,,,0,0,0%
TON,Tonga,EAP,EAP,Less Developed,11,8,14,12,8,18,15,10,5,5,MICS 2019,2019,2,1,1,2,0.577820619,23%
TTO,Trinidad and Tobago,LAC,LAC,Less Developed,2,3,2,2,2,4,2,2,2,1,MICS 2011,2011,19,10,9,9,10.00819912,53%
TUN,Tunisia,MENA,MENA,Less Developed,7,7,7,12,5,14,9,5,4,3,MICS 2018,2018,209,108,102,65,144.1262274,69%
TUR,Turkey,ECA,EECA,Less Developed,3,3,2,3,2,6,2,1,2,0,DHS style 2013,2013,1374,703,671,342,1032.827479,75%
TKM,Turkmenistan,ECA,EECA,Less Developed,0,0,0,0,0,1,0,0,0,0,MICS 2015-16,2016,141,71,69,68,72.66561391,52%
TCA,Turks and Caicos Islands,LAC,LAC,Not Classified,,,,,,,,,,,,,,,,0,0,93%
TUV,Tuvalu,EAP,EAP,Least Developed,,,,,,,,,,,,,,,,0,0,62%
UGA,Uganda,SSA,ESA,Least Developed,23,23,22,23,24,29,22,21,19,25,DHS 2016,2016,1447,730,717,1103,343.9383157,24%
UKR,Ukraine,ECA,EECA,More Developed,1,1,1,0,1,0,1,1,0,2,MICS 2012,2012,490,253,238,150,340.159224,69%
ARE,United Arab Emirates,MENA,MENA,Less Developed,,,,,,,,,,,,,104,53,51,14,89.98771699,87%
GBR,United Kingdom,ECA,WE,More Developed,,,,,,,,,,,,,817,419,399,136,681.6299979,83%
TZA,United Republic of Tanzania,SSA,ESA,Least Developed,57,58,56,62,46,77,67,61,44,44,DHS 2015-16,2016,1730,875,855,1146,584.3504096,34%
USA,United States,NA,NA,More Developed,,,,,,,,,,,,,3956,2022,1934,0,0,0%
URY,Uruguay,LAC,LAC,Less Developed,9,11,7,9,9,8,2,7,21,1,MICS 2012-13,2013,48,24,23,2,45.40282093,95%
UZB,Uzbekistan,ECA,EECA,Less Developed,,,,,,,,,,,,,659,338,321,327,332.9002798,50%
VUT,Vanuatu,EAP,EAP,Least Developed,,,,,,,,,,,,,8,4,4,6,1.965777241,25%
VEN,Venezuela (Bolivarian Republic of),LAC,LAC,Less Developed,,,,,,,,,,,,,546,279,267,64,481.5820971,88%
VNM,Viet Nam,EAP,EAP,Less Developed,6,6,6,7,3,16,5,3,2,1,MICS 2014,2014,1536,811,725,984,551.5500986,36%
YEM,Yemen,MENA,MENA,Least Developed,22,32,12,27,8,45,27,19,12,4,DHS 2013,2013,800,408,392,507,293.0506907,37%
ZMB,Zambia,SSA,ESA,Least Developed,23,27,20,29,14,42,32,23,17,9,DHS 2018,2018,545,275,270,308,237.2490955,44%
ZWE,Zimbabwe,SSA,ESA,Less Developed,19,16,22,22,9,28,24,16,14,5,MICS 2019,2019,453,227,226,307,145.894341,32%
