ISO3,Countries and areas,Region,Sub-region,Development Regions,Total,Female,Male,Rural,Urban,Poorest,Second,Middle,Fourth,Richest,Data source,Time period
LAO,Lao People's Democratic Republic,EAP,EAP,Least Developed,54,53,54,44,77,16,39,55,73,89,MIC 2017,2017
LVA,Latvia,ECA,WE,More Developed,,,,,,,,,,,,
LBN,Lebanon,MENA,MENA,Less Developed,,,,,,,,,,,,
LSO,Lesotho,SSA,ESA,Least Developed,44,55,33,31,68,12,29,43,60,73,MICS 2018,2018
LBR,Liberia,SSA,WCA,Least Developed,26,23,29,7,35,3,7,14,33,52,DHS 2013,2013
LBY,Libya,MENA,MENA,Less Developed,,,,,,,,,,,,
LIE,Liechtenstein,ECA,WE,More Developed,,,,,,,,,,,,
LTU,Lithuania,ECA,WE,More Developed,,,,,,,,,,,,
LUX,Luxembourg,ECA,WE,More Developed,,,,,,,,,,,,
MDG,Madagascar,SSA,ESA,Least Developed,26,27,26,19,49,3,7,15,35,67,MICS 2018,2018
MWI,Malawi,SSA,ESA,Least Developed,22,21,23,16,51,6,10,12,24,53,DHS 2015-16,2016
MYS,Malaysia,EAP,EAP,Less Developed,,,,,,,,,,,,
MDV,Maldives,SA,SA,Less Developed,,,,,,,,,,,,
MLI,Mali,SSA,WCA,Least Developed,30,25,36,22,55,5,12,21,34,63,MICS 2015,2015
MLT,Malta,ECA,WE,More Developed,,,,,,,,,,,,
MHL,Marshall Islands,EAP,EAP,Less Developed,,,,,,,,,,,,
MRT,Mauritania,SSA,WCA,Least Developed,46,40,53,40,51,41,30,43,47,61,MICS 2015,2015
MUS,Mauritius,SSA,ESA,Less Developed,,,,,,,,,,,,
MEX,Mexico,LAC,LAC,Less Developed,89,90,87,82,91,,,,,,ENIGH 2018,2018
FSM,Micronesia (Federated States of),EAP,EAP,Less Developed,,,,,,,,,,,,
MCO,Monaco,ECA,WE,More Developed,,,,,,,,,,,,
MNG,Mongolia,EAP,EAP,Less Developed,90,93,87,76,96,70,86,95,98,99,MICS 2013-14,2014
MNE,Montenegro,ECA,EECA,More Developed,95,97,93,96,94,77,99,99,100,100,MICS 2018,2018
MSR,Montserrat,LAC,LAC,Not Classified,,,,,,,,,,,,
MAR,Morocco,MENA,MENA,Less Developed,,,,,,,,,,,,
MOZ,Mozambique,SSA,ESA,Least Developed,13,11,15,5,24,1,2,4,10,34,DHS 2011,2011
MMR,Myanmar,EAP,EAP,Least Developed,45,45,45,33,69,13,24,41,61,75,DHS 2015,2015
NAM,Namibia,SSA,ESA,Less Developed,56,62,48,32,74,22,34,45,71,89,DHS 2013,2013
NRU,Nauru,EAP,EAP,Less Developed,,,,,,,,,,,,
NPL,Nepal,SA,SA,Least Developed,73,75,71,64,78,62,69,69,77,91,MICS 2019,2019
NLD,Netherlands,ECA,WE,More Developed,,,,,,,,,,,,
NZL,New Zealand,EAP,EAP,More Developed,,,,,,,,,,,,
NIC,Nicaragua,LAC,LAC,Less Developed,,,,,,,,,,,,
NER,Niger,SSA,WCA,Least Developed,6,4,10,1,21,1,1,1,2,19,DHS 2012,2012
NGA,Nigeria,SSA,WCA,Less Developed,63,59,66,47,81,18,44,67,84,93,DHS 2018,2018
NIU,Niue,EAP,EAP,Less Developed,,,,,,,,,,,,
MKD,North Macedonia,ECA,EECA,More Developed,94,95,93,95,93,84,95,96,97,100,MICS 2018-19,2019
NOR,Norway,ECA,WE,More Developed,,,,,,,,,,,,
OMN,Oman,MENA,MENA,Less Developed,,,,,,,,,,,,
PAK,Pakistan,SA,SA,Less Developed,50,45,55,40,67,13,34,52,68,86,DHS 2017-18,2018
PLW,Palau,EAP,EAP,Less Developed,,,,,,,,,,,,
PAN,Panama,LAC,LAC,Less Developed,78,81,75,63,86,53,67,81,92,96,MICS 2013,2013
PNG,Papua New Guinea,EAP,EAP,Less Developed,,,,,,,,,,,,
PRY,Paraguay,LAC,LAC,Less Developed,80,79,81,66,88,64,74,80,89,92,Encuesta Permanente de Hogares 2017,2017
PER,Peru,LAC,LAC,Less Developed,83,83,83,63,89,52,74,86,93,98,DHS 2012,2012
PHL,Philippines,EAP,EAP,Less Developed,81,88,75,78,85,52,76,87,91,95,DHS 2017,2017
POL,Poland,ECA,WE,More Developed,,,,,,,,,,,,
PRT,Portugal,ECA,WE,More Developed,,,,,,,,,,,,
QAT,Qatar,MENA,MENA,Less Developed,,,,,,,,,,,,
KOR,Republic of Korea,EAP,EAP,Less Developed,,,,,,,,,,,,
MDA,Republic of Moldova,ECA,EECA,More Developed,97,98,95,96,98,84,93,98,99,100,MICS 2012,2012
ROU,Romania,ECA,EECA,More Developed,,,,,,,,,,,,
RUS,Russian Federation,ECA,EECA,More Developed,,,,,,,,,,,,
RWA,Rwanda,SSA,ESA,Least Developed,28,30,25,23,46,11,11,20,34,48,DHS 2014-15,2015
KNA,Saint Kitts and Nevis,LAC,LAC,Less Developed,,,,,,,,,,,,
LCA,Saint Lucia,LAC,LAC,Less Developed,92,98,85,92,91,86,87,96,95,97,MICS 2012,2012
VCT,Saint Vincent and the Grenadines,LAC,LAC,Less Developed,,,,,,,,,,,,
WSM,Samoa,EAP,EAP,Less Developed,,,,,,,,,,,,
SMR,San Marino,ECA,WE,More Developed,,,,,,,,,,,,
STP,Sao Tome and Principe,SSA,WCA,Least Developed,34,36,32,30,36,9,23,31,42,55,MICS 2014,2014
SAU,Saudi Arabia,MENA,MENA,Less Developed,,,,,,,,,,,,
SEN,Senegal,SSA,WCA,Least Developed,29,30,27,13,44,6,15,30,31,54,DHS 2019,2019
SRB,Serbia,ECA,EECA,More Developed,99,99,99,100,98,91,100,100,100,100,MICS 2014,2014
SYC,Seychelles,SSA,ESA,Less Developed,,,,,,,,,,,,
SLE,Sierra Leone,SSA,WCA,Least Developed,44,42,47,20,65,8,16,35,55,76,MICS 2017,2017
SGP,Singapore,EAP,EAP,Less Developed,,,,,,,,,,,,
SVK,Slovakia,ECA,WE,More Developed,,,,,,,,,,,,
SVN,Slovenia,ECA,WE,More Developed,,,,,,,,,,,,
SLB,Solomon Islands,EAP,EAP,Least Developed,,,,,,,,,,,,
SOM,Somalia,SSA,ESA,Least Developed,,,,,,,,,,,,
ZAF,South Africa,SSA,ESA,Less Developed,88,91,85,84,91,74,85,91,96,98,DHS 2016,2016
SSD,South Sudan,SSA,ESA,Least Developed,15,10,22,10,25,3,6,9,13,31,MICS 2010,2010
ESP,Spain,ECA,WE,More Developed,,,,,,,,,,,,
LKA,Sri Lanka,SA,SA,Less Developed,95,96,94,95,95,89,96,96,98,98,DHS 2016,2016
PSE,State of Palestine,MENA,MENA,Less Developed,86,93,80,88,86,77,86,84,89,93,MICS 2014,2014
SDN,Sudan,SSA,ESA,Least Developed,50,52,49,41,69,26,33,39,60,88,MICS 2014,2014
SUR,Suriname,LAC,LAC,Less Developed,49,58,41,36,54,23,35,54,60,77,MICS 2018,2018
SWE,Sweden,ECA,WE,More Developed,,,,,,,,,,,,
CHE,Switzerland,ECA,WE,More Developed,,,,,,,,,,,,
SYR,Syrian Arab Republic,MENA,MENA,Less Developed,,,,,,,,,,,,
TJK,Tajikistan,ECA,EECA,Less Developed,94,93,95,94,95,93,91,95,95,96,DHS 2017,2017
THA,Thailand,EAP,EAP,Less Developed,86,92,81,83,90,66,85,88,91,98,MICS 2019,2019
TLS,Timor-Leste,EAP,EAP,Least Developed,66,70,63,54,86,33,47,63,77,91,DHS 2016,2016
TGO,Togo,SSA,WCA,Least Developed,47,39,55,36,60,23,33,45,56,68,MICS 2017,2017
TKL,Tokelau,EAP,EAP,Not Classified,,,,,,,,,,,,
TON,Tonga,EAP,EAP,Less Developed,71,76,65,67,82,52,56,68,84,90,MICS 2019,2019
TTO,Trinidad and Tobago,LAC,LAC,Less Developed,,,,,,,,,,,,
TUN,Tunisia,MENA,MENA,Less Developed,74,80,68,59,82,53,67,78,85,95,MICS 2018,2018
TUR,Turkey,ECA,EECA,Less Developed,94,92,96,91,95,83,93,97,96,100,DHS style 2013,2013
TKM,Turkmenistan,ECA,EECA,Less Developed,100,100,99,100,99,99,99,100,100,99,MICS 2015-16,2016
TCA,Turks and Caicos Islands,LAC,LAC,Not Classified,,,,,,,,,,,,
TUV,Tuvalu,EAP,EAP,Least Developed,,,,,,,,,,,,
UGA,Uganda,SSA,ESA,Least Developed,25,23,27,17,45,7,10,16,28,52,DHS 2016,2016
UKR,Ukraine,ECA,EECA,More Developed,100,100,100,100,100,100,99,100,100,100,MICS 2012,2012
ARE,United Arab Emirates,MENA,MENA,Less Developed,,,,,,,,,,,,
GBR,United Kingdom,ECA,WE,More Developed,,,,,,,,,,,,
TZA,United Republic of Tanzania,SSA,ESA,Least Developed,29,27,31,17,48,7,8,17,30,60,DHS 2015,2015
USA,United States,NA,NA,More Developed,,,,,,,,,,,,
URY,Uruguay,LAC,LAC,Less Developed,69,73,66,52,70,29,70,66,87,85,MICS 2012-13,2013
UZB,Uzbekistan,ECA,EECA,Less Developed,,,,,,,,,,,,
VUT,Vanuatu,EAP,EAP,Least Developed,,,,,,,,,,,,
VEN,Venezuela (Bolivarian Republic of),LAC,LAC,Less Developed,,,,,,,,,,,,
VNM,Viet Nam,EAP,EAP,Less Developed,84,87,81,81,89,60,84,88,93,98,MICS 2014,2014
YEM,Yemen,MENA,MENA,Least Developed,46,39,55,37,65,19,34,46,52,73,DHS 2013,2013
ZMB,Zambia,SSA,ESA,Least Developed,52,50,54,34,73,15,28,49,63,87,DHS 2018,2018
ZWE,Zimbabwe,SSA,ESA,Less Developed,49,53,45,38,72,21,35,43,58,79,MICS 2019,2019
