ISO3,Countries and areas,Region,Sub-region,Development Regions,Total,Female,Male,Rural,Urban,Poorest,Second,Middle,Fourth,Richest,Data source,Time period
CHN,China,EAP,EAP,Less Developed,73,74,73,68,79,,,,,,National Population Sample Survey 2015,2015
COL,Colombia,LAC,LAC,Less Developed,77,81,74,63,83,59,76,80,89,92,DHS 2015,2015
COM,Comoros,SSA,ESA,Least Developed,49,52,45,43,60,23,42,49,57,71,DHS 2012,2012
COG,Congo,SSA,WCA,Less Developed,65,67,62,35,78,23,53,69,81,90,MICS 2014-15,2015
COK,Cook Islands,EAP,EAP,Less Developed,,,,,,,,,,,,
CRI,Costa Rica,LAC,LAC,Less Developed,80,79,80,80,79,64,83,86,85,88,MICS 2018,2018
CIV,Côte d'Ivoire,SSA,WCA,Less Developed,40,38,43,23,57,13,29,35,50,69,MICS 2016,2016
HRV,Croatia,ECA,EECA,More Developed,,,,,,,,,,,,
CUB,Cuba,LAC,LAC,Less Developed,,,,,,,,,,,,
CYP,Cyprus,ECA,WE,More Developed,,,,,,,,,,,,
CZE,Czechia,ECA,WE,More Developed,,,,,,,,,,,,
PRK,Democratic People's Republic of Korea,EAP,EAP,Less Developed,96,94,98,95,97,97,0,0,0,0,MICS 2017,2017
COD,Democratic Republic of the Congo,SSA,WCA,Least Developed,32,31,32,19,47,13,18,26,37,62,MICS 2017-18,2018
DNK,Denmark,ECA,WE,More Developed,,,,,,,,,,,,
DJI,Djibouti,SSA,ESA,Least Developed,,,,,,,,,,,,
DMA,Dominica,LAC,LAC,Less Developed,,,,,,,,,,,,
DOM,Dominican Republic,LAC,LAC,Less Developed,65,72,58,60,67,40,56,68,77,86,MICS 2014,2014
ECU,Ecuador,LAC,LAC,Less Developed,83,86,81,80,86,,,,,,GEPH-ENEMDU-DICIEMBRE - 2019,2019
EGY,Egypt,MENA,MENA,Less Developed,85,86,84,83,87,79,82,86,86,94,DHS 2014,2014
SLV,El Salvador,LAC,LAC,Less Developed,71,73,69,64,77,50,66,80,82,89,MICS 2014,2014
GNQ,Equatorial Guinea,SSA,WCA,Less Developed,,,,,,,,,,,,
ERI,Eritrea,SSA,ESA,Least Developed,59,55,63,43,89,16,37,71,92,96,EPHS 2010,2010
EST,Estonia,ECA,WE,More Developed,,,,,,,,,,,,
SWZ,Eswatini,SSA,ESA,Less Developed,,,,,,,,,,,,
ETH,Ethiopia,SSA,ESA,Least Developed,27,29,25,22,55,12,17,24,27,52,DHS 2016,2016
FJI,Fiji,EAP,EAP,Less Developed,,,,,,,,,,,,
FIN,Finland,ECA,WE,More Developed,,,,,,,,,,,,
FRA,France,ECA,WE,More Developed,,,,,,,,,,,,
GAB,Gabon,SSA,WCA,Less Developed,55,59,51,20,60,21,45,54,68,79,DHS 2012,2012
GMB,Gambia,SSA,WCA,Least Developed,44,50,38,31,51,29,36,43,52,64,MICS 2018,2018
GEO,Georgia,ECA,EECA,Less Developed,96,96,96,97,96,95,98,93,94,100,MICS 2018,2018
DEU,Germany,ECA,WE,More Developed,,,,,,,,,,,,
GHA,Ghana,SSA,WCA,Less Developed,41,44,38,33,51,24,29,38,51,73,MICS 2017-18,2018
GRC,Greece,ECA,WE,More Developed,,,,,,,,,,,,
GRD,Grenada,LAC,LAC,Less Developed,,,,,,,,,,,,
GTM,Guatemala,LAC,LAC,Less Developed,52,50,54,41,69,22,36,51,71,89,DHS 2014-15,2015
GIN,Guinea,SSA,WCA,Least Developed,32,29,35,17,52,8,18,20,38,61,DHS 2018,2018
GNB,Guinea-Bissau,SSA,WCA,Least Developed,10,9,10,4,19,2,4,4,12,26,MICS 2018-19,2019
GUY,Guyana,LAC,LAC,Less Developed,93,95,92,92,96,86,94,93,98,96,MICS 2014,2014
HTI,Haiti,LAC,LAC,Least Developed,28,35,23,19,45,7,17,25,45,55,DHS 2016-17,2017
VAT,Holy See,ECA,WE,Not Classified,,,,,,,,,,,,
HND,Honduras,LAC,LAC,Less Developed,50,54,46,37,66,32,47,56,70,68,Encuesta Permanente de Hogares 2018,2018
HUN,Hungary,ECA,WE,More Developed,,,,,,,,,,,,
ISL,Iceland,ECA,WE,More Developed,,,,,,,,,,,,
IND,India,SA,SA,Less Developed,80,81,80,78,85,64,79,84,89,94,DHS 2015-16,2016
IDN,Indonesia,EAP,EAP,Less Developed,87,89,85,83,91,78,84,88,92,95,National Socio-Economic Survey 2015,2015
IRN,Iran (Islamic Republic of),MENA,MENA,Less Developed,,,,,,,,,,,,
IRQ,Iraq,MENA,MENA,Less Developed,58,58,58,44,65,35,52,57,74,77,MICS 2018,2018
IRL,Ireland,ECA,WE,More Developed,,,,,,,,,,,,
ISR,Israel,MENA,MENA,More Developed,,,,,,,,,,,,
ITA,Italy,ECA,WE,More Developed,,,,,,,,,,,,
JAM,Jamaica,LAC,LAC,Less Developed,92,92,92,90,91,90,93,91,92,95,MICS 2011,2011
JPN,Japan,EAP,EAP,More Developed,,,,,,,,,,,,
JOR,Jordan,MENA,MENA,Less Developed,89,90,89,88,89,75,88,93,95,95,DHS 2017-18,2018
KAZ,Kazakhstan,ECA,EECA,Less Developed,99,100,99,100,99,99,100,100,99,99,MICS 2015,2015
KEN,Kenya,SSA,ESA,Less Developed,42,46,38,37,55,21,36,44,55,67,DHS 2014,2014
KIR,Kiribati,EAP,EAP,Least Developed,81,88,75,78,85,71,79,80,83,96,MICS 2018-19,2019
KWT,Kuwait,MENA,MENA,Less Developed,,,,,,,,,,,,
KGZ,Kyrgyzstan,ECA,EECA,Less Developed,97,97,97,97,96,97,98,96,97,97,MICS 2018,2018
LAO,Lao People's Democratic Republic,EAP,EAP,Least Developed,61,62,59,53,83,28,52,66,84,92,MICS 2017,2017
LVA,Latvia,ECA,WE,More Developed,,,,,,,,,,,,
LBN,Lebanon,MENA,MENA,Less Developed,,,,,,,,,,,,
LSO,Lesotho,SSA,ESA,Least Developed,55,67,42,47,71,30,50,57,66,81,MICS 2018,2018
LBR,Liberia,SSA,WCA,Least Developed,14,15,14,4,20,2,5,8,16,31,DHS 2013,2013
LBY,Libya,MENA,MENA,Less Developed,,,,,,,,,,,,
LIE,Liechtenstein,ECA,WE,More Developed,,,,,,,,,,,,
LTU,Lithuania,ECA,WE,More Developed,,,,,,,,,,,,
LUX,Luxembourg,ECA,WE,More Developed,,,,,,,,,,,,
MDG,Madagascar,SSA,ESA,Least Developed,27,32,23,21,48,4,11,20,38,67,MICS 2018,2018
MWI,Malawi,SSA,ESA,Least Developed,28,31,25,25,52,11,17,24,33,54,DHS 2015-16,2016
MYS,Malaysia,EAP,EAP,Less Developed,,,,,,,,,,,,
MDV,Maldives,SA,SA,Less Developed,84,86,82,84,83,81,86,85,86,81,DHS 2016-17,2017
MLI,Mali,SSA,WCA,Least Developed,34,30,36,25,59,11,17,25,40,64,MICS 2015,2015
MLT,Malta,ECA,WE,More Developed,,,,,,,,,,,,
MHL,Marshall Islands,EAP,EAP,Less Developed,,,,,,,,,,,,
MRT,Mauritania,SSA,WCA,Least Developed,29,27,30,18,42,10,16,27,35,60,MICS 2015,2015
MUS,Mauritius,SSA,ESA,Less Developed,,,,,,,,,,,,
MEX,Mexico,LAC,LAC,Less Developed,90,91,89,87,91,,,,,,ENIGH 2018,2018
FSM,Micronesia (Federated States of),EAP,EAP,Less Developed,,,,,,,,,,,,
MCO,Monaco,ECA,WE,More Developed,,,,,,,,,,,,
MNG,Mongolia,EAP,EAP,Less Developed,93,94,92,93,93,91,94,91,96,93,MICS 2018,2018
MNE,Montenegro,ECA,EECA,More Developed,93,96,91,93,93,79,96,94,98,99,MICS 2018,2018
MSR,Montserrat,LAC,LAC,Not Classified,,,,,,,,,,,,
MAR,Morocco,MENA,MENA,Less Developed,,,,,,,,,,,,
MOZ,Mozambique,SSA,ESA,Least Developed,16,17,15,6,35,1,3,5,16,46,DHS 2011,2011
MMR,Myanmar,EAP,EAP,Least Developed,69,71,67,65,83,45,64,74,83,89,DHS 2015-16,2016
NAM,Namibia,SSA,ESA,Less Developed,60,67,54,53,73,41,47,61,68,90,DHS 2013,2013
NRU,Nauru,EAP,EAP,Less Developed,,,,,,,,,,,,
NPL,Nepal,SA,SA,Least Developed,50,55,46,47,52,44,48,48,49,69,MICS 2019,2019
NLD,Netherlands,ECA,WE,More Developed,,,,,,,,,,,,
NZL,New Zealand,EAP,EAP,More Developed,,,,,,,,,,,,
NIC,Nicaragua,LAC,LAC,Less Developed,,,,,,,,,,,,
NER,Niger,SSA,WCA,Least Developed,19,17,21,12,46,5,10,11,16,44,DHS 2012,2012
NGA,Nigeria,SSA,WCA,Less Developed,45,45,45,32,61,11,29,46,64,77,DHS 2018,2018
NIU,Niue,EAP,EAP,Less Developed,,,,,,,,,,,,
MKD,North Macedonia,ECA,EECA,More Developed,97,96,98,98,97,92,97,100,100,100,MICS 2018-19,2019
NOR,Norway,ECA,WE,More Developed,,,,,,,,,,,,
OMN,Oman,MENA,MENA,Less Developed,,,,,,,,,,,,
PAK,Pakistan,SA,SA,Less Developed,33,33,34,28,43,13,24,34,45,59,DHS 2017-18,2018
PLW,Palau,EAP,EAP,Less Developed,,,,,,,,,,,,
PAN,Panama,LAC,LAC,Less Developed,82,86,78,69,91,59,85,85,97,97,MICS 2013,2013
PNG,Papua New Guinea,EAP,EAP,Less Developed,,,,,,,,,,,,
PRY,Paraguay,LAC,LAC,Less Developed,79,84,76,75,83,70,75,80,93,94,Encuesta Permanente de Hogares 2017,2017
PER,Peru,LAC,LAC,Less Developed,86,87,85,77,90,69,86,89,93,96,DHS 2012,2012
PHL,Philippines,EAP,EAP,Less Developed,74,78,70,73,76,54,73,79,83,89,DHS 2017,2017
POL,Poland,ECA,WE,More Developed,,,,,,,,,,,,
PRT,Portugal,ECA,WE,More Developed,,,,,,,,,,,,
QAT,Qatar,MENA,MENA,Less Developed,93,93,94,,,52,71,86,92,94,MICS 2012,2012
KOR,Republic of Korea,EAP,EAP,Less Developed,,,,,,,,,,,,
MDA,Republic of Moldova,ECA,EECA,More Developed,96,97,96,97,94,91,98,97,98,97,MICS 2012,2012
ROU,Romania,ECA,EECA,More Developed,90,90,90,,,,,,,,Institute of Educational Sciences and UNICEF 2015-2016,2016
RUS,Russian Federation,ECA,EECA,More Developed,,,,,,,,,,,,
RWA,Rwanda,SSA,ESA,Least Developed,30,34,25,27,45,16,21,26,33,47,DHS 2014-15,2015
KNA,Saint Kitts and Nevis,LAC,LAC,Less Developed,,,,,,,,,,,,
LCA,Saint Lucia,LAC,LAC,Less Developed,93,90,95,93,93,92,94,93,94,94,MICS 2012,2012
VCT,Saint Vincent and the Grenadines,LAC,LAC,Less Developed,,,,,,,,,,,,
WSM,Samoa,EAP,EAP,Less Developed,,,,,,,,,,,,
SMR,San Marino,ECA,WE,More Developed,,,,,,,,,,,,
STP,Sao Tome and Principe,SSA,WCA,Least Developed,52,57,46,49,53,34,38,48,61,77,MICS 2014,2014
SAU,Saudi Arabia,MENA,MENA,Less Developed,,,,,,,,,,,,
SEN,Senegal,SSA,WCA,Least Developed,31,33,29,20,47,16,23,25,35,61,DHS 2019,2019
SRB,Serbia,ECA,EECA,More Developed,96,96,97,94,98,92,98,98,99,93,MICS 2014,2014
SYC,Seychelles,SSA,ESA,Less Developed,,,,,,,,,,,,
SLE,Sierra Leone,SSA,WCA,Least Developed,36,36,36,18,55,11,17,30,54,61,MICS 2017,2017
SGP,Singapore,EAP,EAP,Less Developed,,,,,,,,,,,,
SVK,Slovakia,ECA,WE,More Developed,,,,,,,,,,,,
SVN,Slovenia,ECA,WE,More Developed,,,,,,,,,,,,
SLB,Solomon Islands,EAP,EAP,Least Developed,,,,,,,,,,,,
SOM,Somalia,SSA,ESA,Least Developed,,,,,,,,,,,,
ZAF,South Africa,SSA,ESA,Less Developed,85,89,82,83,87,75,83,89,88,95,DHS 2016,2016
SSD,South Sudan,SSA,ESA,Least Developed,5,3,6,3,9,1,3,2,6,11,MICS 2010,2010
ESP,Spain,ECA,WE,More Developed,,,,,,,,,,,,
LKA,Sri Lanka,SA,SA,Less Developed,92,92,93,93,92,89,93,94,93,93,DHS 2016,2016
PSE,State of Palestine,MENA,MENA,Less Developed,,,,,,,,,,,,
SDN,Sudan,SSA,ESA,Least Developed,31,32,31,25,47,15,16,24,41,72,MICS 2014,2014
SUR,Suriname,LAC,LAC,Less Developed,62,69,56,50,68,37,58,69,77,88,MICS 2018,2018
SWE,Sweden,ECA,WE,More Developed,,,,,,,,,,,,
CHE,Switzerland,ECA,WE,More Developed,,,,,,,,,,,,
SYR,Syrian Arab Republic,MENA,MENA,Less Developed,,,,,,,,,,,,
TJK,Tajikistan,ECA,EECA,Less Developed,97,96,98,97,97,96,98,98,98,97,DHS 2017,2017
THA,Thailand,EAP,EAP,Less Developed,87,90,84,87,86,82,84,86,93,88,MICS 2019,2019
TLS,Timor-Leste,EAP,EAP,Least Developed,54,60,48,47,76,30,41,48,65,84,DHS 2016,2016
TGO,Togo,SSA,WCA,Least Developed,53,50,56,44,68,31,44,53,66,73,MICS 2017,2017
TKL,Tokelau,EAP,EAP,Not Classified,,,,,,,,,,,,
TON,Tonga,EAP,EAP,Less Developed,90,93,86,89,92,82,84,92,96,94,MICS 2019,2019
TTO,Trinidad and Tobago,LAC,LAC,Less Developed,,,,,,,,,,,,
TUN,Tunisia,MENA,MENA,Less Developed,82,85,79,73,86,65,78,83,88,95,MICS 2018,2018
TUR,Turkey,ECA,EECA,Less Developed,,,,,,,,,,,,
TKM,Turkmenistan,ECA,EECA,Less Developed,98,98,98,98,99,97,98,98,98,99,MICS 2015-16,2016
TCA,Turks and Caicos Islands,LAC,LAC,Not Classified,,,,,,,,,,,,
TUV,Tuvalu,EAP,EAP,Least Developed,,,,,,,,,,,,
UGA,Uganda,SSA,ESA,Least Developed,19,21,18,15,37,6,9,17,27,43,DHS 2016,2016
UKR,Ukraine,ECA,EECA,More Developed,98,98,98,98,98,98,97,100,100,97,MICS 2012,2012
ARE,United Arab Emirates,MENA,MENA,Less Developed,,,,,,,,,,,,
GBR,United Kingdom,ECA,WE,More Developed,,,,,,,,,,,,
TZA,United Republic of Tanzania,SSA,ESA,Least Developed,28,31,25,20,44,7,13,20,39,49,DHS 2015-16,2016
USA,United States,NA,NA,More Developed,,,,,,,,,,,,
URY,Uruguay,LAC,LAC,Less Developed,76,77,75,69,77,65,69,84,77,91,MICS 2012-13,2013
UZB,Uzbekistan,ECA,EECA,Less Developed,,,,,,,,,,,,
VUT,Vanuatu,EAP,EAP,Least Developed,,,,,,,,,,,,
VEN,Venezuela (Bolivarian Republic of),LAC,LAC,Less Developed,,,,,,,,,,,,
VNM,Viet Nam,EAP,EAP,Less Developed,90,92,89,89,95,75,93,94,96,98,MICS 2014,2014
YEM,Yemen,MENA,MENA,Least Developed,39,34,43,32,56,17,28,39,47,65,DHS 2013,2013
ZMB,Zambia,SSA,ESA,Least Developed,46,46,45,31,69,11,24,40,60,82,DHS 2018,2018
ZWE,Zimbabwe,SSA,ESA,Less Developed,52,60,44,46,73,30,44,57,65,82,MICS 2019,2019
