ISO3,Countries and areas,Region,Sub-region,Development Regions,Total,Female,Male,Rural,Urban,Poorest,Second,Middle,Fourth,Richest,Data source,Time period
KIR,Kiribati,EAP,EAP,Least Developed,17,20,13,6,24,4,5,10,18,38,MICS 2018-19,2019
KWT,Kuwait,MENA,MENA,Less Developed,,,,,,,,,,,,
KGZ,Kyrgyzstan,ECA,EECA,Less Developed,87,85,89,84,91,78,85,81,89,96,MICS 2018,2018
LAO,Lao People's Democratic Republic,EAP,EAP,Least Developed,31,31,32,19,56,4,16,26,40,69,MICS 2017,2017
LVA,Latvia,ECA,WE,More Developed,,,,,,,,,,,,
LBN,Lebanon,MENA,MENA,Less Developed,,,,,,,,,,,,
LSO,Lesotho,SSA,ESA,Least Developed,32,37,27,20,50,4,17,24,46,61,MICS 2018,2018
LBR,Liberia,SSA,WCA,Least Developed,13,9,18,4,19,2,4,4,13,31,DHS 2013,2013
LBY,Libya,MENA,MENA,Less Developed,,,,,,,,,,,,
LIE,Liechtenstein,ECA,WE,More Developed,,,,,,,,,,,,
LTU,Lithuania,ECA,WE,More Developed,,,,,,,,,,,,
LUX,Luxembourg,ECA,WE,More Developed,,,,,,,,,,,,
MDG,Madagascar,SSA,ESA,Least Developed,15,15,16,10,30,1,1,5,13,44,MICS 2018,2018
MWI,Malawi,SSA,ESA,Least Developed,14,13,15,10,34,2,5,8,15,37,DHS 2015-16,2016
MYS,Malaysia,EAP,EAP,Less Developed,,,,,,,,,,,,
MDV,Maldives,SA,SA,Less Developed,,,,,,,,,,,,
MLI,Mali,SSA,WCA,Least Developed,17,12,23,9,41,0,4,6,19,45,MICS 2015,2015
MLT,Malta,ECA,WE,More Developed,,,,,,,,,,,,
MHL,Marshall Islands,EAP,EAP,Less Developed,,,,,,,,,,,,
MRT,Mauritania,SSA,WCA,Least Developed,27,23,31,27,27,30,22,26,21,34,MICS 2015,2015
MUS,Mauritius,SSA,ESA,Less Developed,,,,,,,,,,,,
MEX,Mexico,LAC,LAC,Less Developed,58,60,56,42,63,,,,,,ENIGH 2018,2018
FSM,Micronesia (Federated States of),EAP,EAP,Less Developed,,,,,,,,,,,,
MCO,Monaco,ECA,WE,More Developed,,,,,,,,,,,,
MNG,Mongolia,EAP,EAP,Less Developed,66,73,60,35,78,26,49,63,87,95,MICS 2013-14,2014
MNE,Montenegro,ECA,EECA,More Developed,86,90,83,86,86,54,83,91,99,100,MICS 2018,2018
MSR,Montserrat,LAC,LAC,Not Classified,,,,,,,,,,,,
MAR,Morocco,MENA,MENA,Less Developed,,,,,,,,,,,,
MOZ,Mozambique,SSA,ESA,Least Developed,7,5,8,1,14,0,1,1,3,20,DHS 2011,2011
MMR,Myanmar,EAP,EAP,Least Developed,17,19,14,10,32,1,5,10,17,45,DHS 2015,2015
NAM,Namibia,SSA,ESA,Less Developed,36,39,33,18,47,8,13,27,46,65,DHS 2013,2013
NRU,Nauru,EAP,EAP,Less Developed,,,,,,,,,,,,
NPL,Nepal,SA,SA,Least Developed,27,28,27,14,33,10,14,17,30,59,MICS 2019,2019
NLD,Netherlands,ECA,WE,More Developed,,,,,,,,,,,,
NZL,New Zealand,EAP,EAP,More Developed,,,,,,,,,,,,
NIC,Nicaragua,LAC,LAC,Less Developed,,,,,,,,,,,,
NER,Niger,SSA,WCA,Least Developed,2,1,4,0,9,0,0,0,0,8,DHS 2012,2012
NGA,Nigeria,SSA,WCA,Less Developed,49,44,57,34,71,12,28,50,72,88,DHS 2018,2018
NIU,Niue,EAP,EAP,Less Developed,,,,,,,,,,,,
MKD,North Macedonia,ECA,EECA,More Developed,83,79,86,84,82,56,78,86,99,100,MICS 2018-19,2019
NOR,Norway,ECA,WE,More Developed,,,,,,,,,,,,
OMN,Oman,MENA,MENA,Less Developed,,,,,,,,,,,,
PAK,Pakistan,SA,SA,Less Developed,23,23,24,15,35,1,8,15,30,55,DHS 2017-18,2018
PLW,Palau,EAP,EAP,Less Developed,,,,,,,,,,,,
PAN,Panama,LAC,LAC,Less Developed,63,68,57,38,72,21,45,66,82,95,MICS 2013,2013
PNG,Papua New Guinea,EAP,EAP,Less Developed,,,,,,,,,,,,
PRY,Paraguay,LAC,LAC,Less Developed,63,67,60,44,72,34,44,56,77,83,Encuesta Permanente de Hogares 2017,2017
PER,Peru,LAC,LAC,Less Developed,75,72,78,47,83,34,59,78,89,95,DHS 2012,2012
PHL,Philippines,EAP,EAP,Less Developed,78,83,74,73,83,46,71,83,89,94,DHS 2017,2017
POL,Poland,ECA,WE,More Developed,,,,,,,,,,,,
PRT,Portugal,ECA,WE,More Developed,,,,,,,,,,,,
QAT,Qatar,MENA,MENA,Less Developed,,,,,,,,,,,,
KOR,Republic of Korea,EAP,EAP,Less Developed,,,,,,,,,,,,
MDA,Republic of Moldova,ECA,EECA,More Developed,67,71,63,53,82,25,52,64,80,87,MICS 2012,2012
ROU,Romania,ECA,EECA,More Developed,,,,,,,,,,,,
RUS,Russian Federation,ECA,EECA,More Developed,,,,,,,,,,,,
RWA,Rwanda,SSA,ESA,Least Developed,17,16,19,11,38,4,5,11,16,42,DHS 2014-15,2015
KNA,Saint Kitts and Nevis,LAC,LAC,Less Developed,,,,,,,,,,,,
LCA,Saint Lucia,LAC,LAC,Less Developed,80,90,70,81,77,54,80,85,93,96,MICS 2012,2012
VCT,Saint Vincent and the Grenadines,LAC,LAC,Less Developed,,,,,,,,,,,,
WSM,Samoa,EAP,EAP,Less Developed,,,,,,,,,,,,
SMR,San Marino,ECA,WE,More Developed,,,,,,,,,,,,
STP,Sao Tome and Principe,SSA,WCA,Least Developed,6,8,4,4,8,2,2,2,5,20,MICS 2014,2014
SAU,Saudi Arabia,MENA,MENA,Less Developed,,,,,,,,,,,,
SEN,Senegal,SSA,WCA,Least Developed,10,10,11,4,16,2,4,6,12,23,DHS 2019,2019
SRB,Serbia,ECA,EECA,More Developed,76,81,71,68,80,44,73,79,80,95,MICS 2014,2014
SYC,Seychelles,SSA,ESA,Less Developed,,,,,,,,,,,,
SLE,Sierra Leone,SSA,WCA,Least Developed,22,18,27,5,33,2,3,12,24,41,MICS 2017,2017
SGP,Singapore,EAP,EAP,Less Developed,,,,,,,,,,,,
SVK,Slovakia,ECA,WE,More Developed,,,,,,,,,,,,
SVN,Slovenia,ECA,WE,More Developed,,,,,,,,,,,,
SLB,Solomon Islands,EAP,EAP,Least Developed,,,,,,,,,,,,
SOM,Somalia,SSA,ESA,Least Developed,,,,,,,,,,,,
ZAF,South Africa,SSA,ESA,Less Developed,48,52,45,34,56,23,36,50,59,78,DHS 2016,2016
SSD,South Sudan,SSA,ESA,Least Developed,7,4,12,4,13,1,2,5,5,15,MICS 2010,2010
ESP,Spain,ECA,WE,More Developed,,,,,,,,,,,,
LKA,Sri Lanka,SA,SA,Less Developed,38,43,32,35,49,15,28,35,47,68,DHS 2016,2016
PSE,State of Palestine,MENA,MENA,Less Developed,62,73,52,64,62,50,62,57,63,79,MICS 2014,2014
SDN,Sudan,SSA,ESA,Least Developed,31,28,33,22,47,11,11,19,33,69,MICS 2014,2014
SUR,Suriname,LAC,LAC,Less Developed,22,26,18,12,26,7,7,16,31,52,MICS 2018,2018
SWE,Sweden,ECA,WE,More Developed,,,,,,,,,,,,
CHE,Switzerland,ECA,WE,More Developed,,,,,,,,,,,,
SYR,Syrian Arab Republic,MENA,MENA,Less Developed,,,,,,,,,,,,
TJK,Tajikistan,ECA,EECA,Less Developed,70,63,80,68,74,63,63,66,73,79,DHS 2017,2017
THA,Thailand,EAP,EAP,Less Developed,65,72,59,58,71,38,59,63,73,88,MICS 2019,2019
TLS,Timor-Leste,EAP,EAP,Least Developed,52,55,49,36,76,19,28,43,61,81,DHS 2016,2016
TGO,Togo,SSA,WCA,Least Developed,21,12,31,9,32,1,7,18,26,37,MICS 2017,2017
TKL,Tokelau,EAP,EAP,Not Classified,,,,,,,,,,,,
TON,Tonga,EAP,EAP,Less Developed,51,56,45,50,55,20,37,54,66,75,MICS 2019,2019
TTO,Trinidad and Tobago,LAC,LAC,Less Developed,,,,,,,,,,,,
TUN,Tunisia,MENA,MENA,Less Developed,49,57,40,30,57,24,31,48,59,80,MICS 2018,2018
TUR,Turkey,ECA,EECA,Less Developed,47,44,51,26,52,13,35,46,62,82,DHS style 2013,2013
TKM,Turkmenistan,ECA,EECA,Less Developed,94,95,93,94,94,89,94,97,94,96,MICS 2015-16,2016
TCA,Turks and Caicos Islands,LAC,LAC,Not Classified,,,,,,,,,,,,
TUV,Tuvalu,EAP,EAP,Least Developed,,,,,,,,,,,,
UGA,Uganda,SSA,ESA,Least Developed,17,15,18,11,30,3,6,7,14,38,DHS 2016,2016
UKR,Ukraine,ECA,EECA,More Developed,97,97,97,94,98,91,97,98,98,99,MICS 2012,2012
ARE,United Arab Emirates,MENA,MENA,Less Developed,,,,,,,,,,,,
GBR,United Kingdom,ECA,WE,More Developed,,,,,,,,,,,,
TZA,United Republic of Tanzania,SSA,ESA,Least Developed,29,27,32,17,49,6,8,15,29,62,DHS 2015,2015
USA,United States,NA,NA,More Developed,,,,,,,,,,,,
URY,Uruguay,LAC,LAC,Less Developed,38,29,48,20,40,5,13,41,49,91,MICS 2012-13,2013
UZB,Uzbekistan,ECA,EECA,Less Developed,,,,,,,,,,,,
VUT,Vanuatu,EAP,EAP,Least Developed,,,,,,,,,,,,
VEN,Venezuela (Bolivarian Republic of),LAC,LAC,Less Developed,,,,,,,,,,,,
VNM,Viet Nam,EAP,EAP,Less Developed,56,61,50,48,71,19,44,56,70,90,MICS 2014,2014
YEM,Yemen,MENA,MENA,Least Developed,30,23,37,20,47,9,15,25,33,56,DHS 2013,2013
ZMB,Zambia,SSA,ESA,Least Developed,30,27,33,13,47,3,8,20,32,66,DHS 2018,2018
ZWE,Zimbabwe,SSA,ESA,Less Developed,15,14,17,6,29,1,3,7,17,37,MICS 2019,2019
