ISO3,Countries and areas,Region,Sub-region,Development Regions,Total,Female,Male,Rural,Urban,Poorest,Second,Middle,Fourth,Richest,Data source,Time period
BRA,Brazil,LAC,LAC,Less Developed,65,70,61,54,67,52,64,69,77,84,PNAD 2019,2019
VGB,British Virgin Islands,LAC,LAC,Not Classified,,,,,,,,,,,,
BRN,Brunei Darussalam,EAP,EAP,Less Developed,,,,,,,,,,,,
BGR,Bulgaria,ECA,EECA,More Developed,,,,,,,,,,,,
BFA,Burkina Faso,SSA,WCA,Least Developed,5,3,6,1,13,0,0,2,2,14,DHS 2010,2010
BDI,Burundi,SSA,ESA,Least Developed,12,12,13,9,27,4,5,8,14,23,DHS 2016-17,2017
CPV,Cabo Verde,SSA,WCA,Less Developed,,,,,,,,,,,,
KHM,Cambodia,EAP,EAP,Least Developed,26,27,26,21,51,9,11,18,33,54,DHS 2014,2014
CMR,Cameroon,SSA,WCA,Less Developed,28,27,28,11,41,3,6,20,34,61,DHS 2018,2018
CAN,Canada,NA,NA,More Developed,,,,,,,,,,,,
CAF,Central African Republic,SSA,WCA,Least Developed,5,4,5,0,10,0,0,0,5,14,MICS 2010,2010
TCD,Chad,SSA,WCA,Least Developed,8,6,10,2,22,2,2,3,3,23,DHS 2014-15,2015
CHL,Chile,LAC,LAC,Less Developed,74,76,72,76,74,,,,,,CASEN 2017,2017
CHN,China,EAP,EAP,Less Developed,60,62,58,45,74,,,,,,National Population Sample Survey 2015,2015
COL,Colombia,LAC,LAC,Less Developed,48,53,43,31,54,28,39,49,61,71,DHS 2015,2015
COM,Comoros,SSA,ESA,Least Developed,27,29,25,21,39,8,21,21,32,48,DHS 2012,2012
COG,Congo,SSA,WCA,Less Developed,36,35,38,8,47,2,11,34,52,68,MICS 2014-15,2015
COK,Cook Islands,EAP,EAP,Less Developed,,,,,,,,,,,,
CRI,Costa Rica,LAC,LAC,Less Developed,46,53,39,47,45,25,43,50,51,65,MICS 2018,2018
CIV,Côte d'Ivoire,SSA,WCA,Less Developed,17,14,20,6,24,1,7,12,18,35,MICS 2016,2016
HRV,Croatia,ECA,EECA,More Developed,,,,,,,,,,,,
CUB,Cuba,LAC,LAC,Less Developed,,,,,,,,,,,,
CYP,Cyprus,ECA,WE,More Developed,,,,,,,,,,,,
CZE,Czechia,ECA,WE,More Developed,,,,,,,,,,,,
PRK,Democratic People's Republic of Korea,EAP,EAP,Less Developed,95,95,95,95,95,95,,,,,MICS 2017,2017
COD,Democratic Republic of the Congo,SSA,WCA,Least Developed,34,33,36,20,50,13,19,26,42,66,MICS 2017-18,2018
DNK,Denmark,ECA,WE,More Developed,,,,,,,,,,,,
DJI,Djibouti,SSA,ESA,Least Developed,,,,,,,,,,,,
DMA,Dominica,LAC,LAC,Less Developed,,,,,,,,,,,,
DOM,Dominican Republic,LAC,LAC,Less Developed,61,70,53,51,65,32,51,64,75,86,MICS 2014,2014
ECU,Ecuador,LAC,LAC,Less Developed,71,73,70,62,76,,,,,,GEPH-ENEMDU-DICIEMBRE - 2019,2019
EGY,Egypt,MENA,MENA,Less Developed,70,68,71,66,76,60,63,72,69,89,DHS 2014,2014
SLV,El Salvador,LAC,LAC,Less Developed,44,56,43,29,54,20,32,47,55,72,MICS 2014,2014
GNQ,Equatorial Guinea,SSA,WCA,Less Developed,,,,,,,,,,,,
ERI,Eritrea,SSA,ESA,Least Developed,,,,,,,,,,,,
EST,Estonia,ECA,WE,More Developed,,,,,,,,,,,,
SWZ,Eswatini,SSA,ESA,Less Developed,,,,,,,,,,,,
ETH,Ethiopia,SSA,ESA,Least Developed,8,9,7,2,29,2,1,0,2,24,DHS 2016,2016
FJI,Fiji,EAP,EAP,Less Developed,,,,,,,,,,,,
FIN,Finland,ECA,WE,More Developed,,,,,,,,,,,,
FRA,France,ECA,WE,More Developed,,,,,,,,,,,,
GAB,Gabon,SSA,WCA,Less Developed,16,19,13,6,17,3,11,9,11,36,DHS 2012,2012
GMB,Gambia,SSA,WCA,Least Developed,31,32,29,15,37,14,17,25,37,52,MICS 2018,2018
GEO,Georgia,ECA,EECA,Less Developed,85,87,83,83,86,74,88,83,83,94,MICS 2018,2018
DEU,Germany,ECA,WE,More Developed,,,,,,,,,,,,
GHA,Ghana,SSA,WCA,Less Developed,20,19,20,12,30,7,7,19,27,44,MICS 2017-18,2018
GRC,Greece,ECA,WE,More Developed,,,,,,,,,,,,
GRD,Grenada,LAC,LAC,Less Developed,,,,,,,,,,,,
GTM,Guatemala,LAC,LAC,Less Developed,31,29,34,21,45,6,14,26,43,66,DHS 2014-15,2015
GIN,Guinea,SSA,WCA,Least Developed,13,11,15,3,25,0,3,4,13,32,DHS 2018,2018
GNB,Guinea-Bissau,SSA,WCA,Least Developed,7,7,6,2,14,1,2,1,6,21,MICS 2018-19,2019
GUY,Guyana,LAC,LAC,Less Developed,68,76,59,64,78,47,55,77,79,86,MICS 2014,2014
HTI,Haiti,LAC,LAC,Least Developed,21,23,19,12,34,3,7,17,28,48,DHS 2016-17,2017
VAT,Holy See,ECA,WE,Not Classified,,,,,,,,,,,,
HND,Honduras,LAC,LAC,Less Developed,31,34,28,18,45,12,24,36,45,53,Encuesta Permanente de Hogares 2018,2018
HUN,Hungary,ECA,WE,More Developed,,,,,,,,,,,,
ISL,Iceland,ECA,WE,More Developed,,,,,,,,,,,,
IND,India,SA,SA,Less Developed,64,62,66,61,73,39,57,67,77,89,DHS 2015-16,2016
IDN,Indonesia,EAP,EAP,Less Developed,57,59,56,50,65,43,50,56,64,74,National Socio-Economic Survey 2013,2013
IRN,Iran (Islamic Republic of),MENA,MENA,Less Developed,,,,,,,,,,,,
IRQ,Iraq,MENA,MENA,Less Developed,33,35,31,25,37,13,24,28,40,56,MICS 2018,2018
IRL,Ireland,ECA,WE,More Developed,,,,,,,,,,,,
ISR,Israel,MENA,MENA,More Developed,,,,,,,,,,,,
ITA,Italy,ECA,WE,More Developed,,,,,,,,,,,,
JAM,Jamaica,LAC,LAC,Less Developed,76,78,74,71,79,63,72,77,83,92,MICS 2011,2011
JPN,Japan,EAP,EAP,More Developed,,,,,,,,,,,,
JOR,Jordan,MENA,MENA,Less Developed,71,75,67,68,71,45,63,73,80,88,DHS 2017-18,2018
KAZ,Kazakhstan,ECA,EECA,Less Developed,96,96,95,95,97,96,95,96,97,95,MICS 2015,2015
KEN,Kenya,SSA,ESA,Less Developed,36,37,34,32,46,15,28,36,47,62,DHS 2014,2014
KIR,Kiribati,EAP,EAP,Least Developed,54,64,46,49,58,36,54,51,52,73,MICS 2018-19,2019
KWT,Kuwait,MENA,MENA,Less Developed,,,,,,,,,,,,
KGZ,Kyrgyzstan,ECA,EECA,Less Developed,87,85,88,86,89,78,87,86,87,96,MICS 2018,2018
LAO,Lao People's Democratic Republic,EAP,EAP,Least Developed,38,39,38,29,61,8,20,36,56,74,MICS 2017,2017
LVA,Latvia,ECA,WE,More Developed,,,,,,,,,,,,
LBN,Lebanon,MENA,MENA,Less Developed,,,,,,,,,,,,
LSO,Lesotho,SSA,ESA,Least Developed,22,30,15,16,35,3,15,20,24,52,MICS 2018,2018
LBR,Liberia,SSA,WCA,Least Developed,12,11,12,2,16,0,2,5,9,27,DHS 2013,2013
LBY,Libya,MENA,MENA,Less Developed,,,,,,,,,,,,
LIE,Liechtenstein,ECA,WE,More Developed,,,,,,,,,,,,
LTU,Lithuania,ECA,WE,More Developed,,,,,,,,,,,,
LUX,Luxembourg,ECA,WE,More Developed,,,,,,,,,,,,
MDG,Madagascar,SSA,ESA,Least Developed,13,14,11,9,26,1,1,4,12,42,MICS 2018,2018
MWI,Malawi,SSA,ESA,Least Developed,17,18,17,15,30,6,7,13,24,30,DHS 2015-16,2016
MYS,Malaysia,EAP,EAP,Less Developed,,,,,,,,,,,,
MDV,Maldives,SA,SA,Less Developed,35,41,28,24,47,14,25,43,47,45,DHS 2016-17,2017
MLI,Mali,SSA,WCA,Least Developed,17,14,20,11,36,3,6,10,20,40,MICS 2015,2015
MLT,Malta,ECA,WE,More Developed,,,,,,,,,,,,
MHL,Marshall Islands,EAP,EAP,Less Developed,,,,,,,,,,,,
MRT,Mauritania,SSA,WCA,Least Developed,20,18,22,12,27,9,11,17,21,37,MICS 2015,2015
MUS,Mauritius,SSA,ESA,Less Developed,,,,,,,,,,,,
MEX,Mexico,LAC,LAC,Less Developed,68,70,66,55,73,,,,,,ENIGH 2018,2018
FSM,Micronesia (Federated States of),EAP,EAP,Less Developed,,,,,,,,,,,,
MCO,Monaco,ECA,WE,More Developed,,,,,,,,,,,,
MNG,Mongolia,EAP,EAP,Less Developed,87,91,82,76,92,68,87,93,97,91,MICS 2018,2018
MNE,Montenegro,ECA,EECA,More Developed,87,89,85,89,87,64,87,97,97,95,MICS 2018,2018
MSR,Montserrat,LAC,LAC,Not Classified,,,,,,,,,,,,
MAR,Morocco,MENA,MENA,Less Developed,,,,,,,,,,,,
MOZ,Mozambique,SSA,ESA,Least Developed,3,3,3,1,8,0,0,0,2,11,DHS 2011,2011
MMR,Myanmar,EAP,EAP,Least Developed,36,41,30,26,60,10,23,34,45,71,DHS 2015-16,2016
NAM,Namibia,SSA,ESA,Less Developed,24,28,20,10,42,7,10,15,28,60,DHS 2013,2013
NRU,Nauru,EAP,EAP,Less Developed,,,,,,,,,,,,
NPL,Nepal,SA,SA,Least Developed,47,49,46,40,52,33,46,47,52,67,MICS 2019,2019
NLD,Netherlands,ECA,WE,More Developed,,,,,,,,,,,,
NZL,New Zealand,EAP,EAP,More Developed,,,,,,,,,,,,
NIC,Nicaragua,LAC,LAC,Less Developed,,,,,,,,,,,,
NER,Niger,SSA,WCA,Least Developed,4,3,6,1,14,0,0,0,1,13,DHS 2012,2012
NGA,Nigeria,SSA,WCA,Less Developed,35,35,34,25,48,6,22,38,51,57,DHS 2018,2018
NIU,Niue,EAP,EAP,Less Developed,,,,,,,,,,,,
MKD,North Macedonia,ECA,EECA,More Developed,90,91,90,92,89,74,91,92,97,99,MICS 2018-19,2019
NOR,Norway,ECA,WE,More Developed,,,,,,,,,,,,
OMN,Oman,MENA,MENA,Less Developed,,,,,,,,,,,,
PAK,Pakistan,SA,SA,Less Developed,33,29,36,25,47,9,18,31,44,69,DHS 2017-18,2018
PLW,Palau,EAP,EAP,Less Developed,,,,,,,,,,,,
PAN,Panama,LAC,LAC,Less Developed,62,70,55,45,72,31,52,65,80,91,MICS 2013,2013
PNG,Papua New Guinea,EAP,EAP,Less Developed,,,,,,,,,,,,
PRY,Paraguay,LAC,LAC,Less Developed,63,65,61,52,70,47,55,64,75,82,Encuesta Permanente de Hogares 2017,2017
PER,Peru,LAC,LAC,Less Developed,66,67,65,52,72,42,59,67,76,87,DHS 2012,2012
PHL,Philippines,EAP,EAP,Less Developed,41,53,31,39,44,19,39,42,48,60,DHS 2017,2017
POL,Poland,ECA,WE,More Developed,,,,,,,,,,,,
PRT,Portugal,ECA,WE,More Developed,,,,,,,,,,,,
QAT,Qatar,MENA,MENA,Less Developed,88,88,87,,,38,52,64,76,89,MICS 2012,2012
KOR,Republic of Korea,EAP,EAP,Less Developed,,,,,,,,,,,,
MDA,Republic of Moldova,ECA,EECA,More Developed,68,73,62,59,84,23,49,71,84,90,MICS 2012,2012
ROU,Romania,ECA,EECA,More Developed,,,,,,,,,,,,
RUS,Russian Federation,ECA,EECA,More Developed,,,,,,,,,,,,
RWA,Rwanda,SSA,ESA,Least Developed,15,17,13,13,23,6,7,13,17,25,DHS 2014-15,2015
KNA,Saint Kitts and Nevis,LAC,LAC,Less Developed,,,,,,,,,,,,
LCA,Saint Lucia,LAC,LAC,Less Developed,84,90,79,85,81,81,74,97,81,89,MICS 2012,2012
VCT,Saint Vincent and the Grenadines,LAC,LAC,Less Developed,,,,,,,,,,,,
WSM,Samoa,EAP,EAP,Less Developed,,,,,,,,,,,,
SMR,San Marino,ECA,WE,More Developed,,,,,,,,,,,,
STP,Sao Tome and Principe,SSA,WCA,Least Developed,20,24,14,15,22,9,13,10,17,40,MICS 2014,2014
SAU,Saudi Arabia,MENA,MENA,Less Developed,,,,,,,,,,,,
SEN,Senegal,SSA,WCA,Least Developed,17,18,17,7,28,3,9,12,19,39,DHS 2019,2019
SRB,Serbia,ECA,EECA,More Developed,92,94,91,93,92,78,95,91,94,98,MICS 2014,2014
SYC,Seychelles,SSA,ESA,Less Developed,,,,,,,,,,,,
SLE,Sierra Leone,SSA,WCA,Least Developed,29,28,30,9,45,4,8,17,36,56,MICS 2017,2017
SGP,Singapore,EAP,EAP,Less Developed,,,,,,,,,,,,
SVK,Slovakia,ECA,WE,More Developed,,,,,,,,,,,,
SVN,Slovenia,ECA,WE,More Developed,,,,,,,,,,,,
SLB,Solomon Islands,EAP,EAP,Least Developed,,,,,,,,,,,,
SOM,Somalia,SSA,ESA,Least Developed,,,,,,,,,,,,
ZAF,South Africa,SSA,ESA,Less Developed,70,72,67,68,71,57,70,71,73,83,DHS 2016,2016
SSD,South Sudan,SSA,ESA,Least Developed,5,3,6,3,8,2,1,3,4,11,MICS 2010,2010
ESP,Spain,ECA,WE,More Developed,,,,,,,,,,,,
LKA,Sri Lanka,SA,SA,Less Developed,73,77,68,73,72,56,72,72,80,85,DHS 2016,2016
PSE,State of Palestine,MENA,MENA,Less Developed,,,,,,,,,,,,
SDN,Sudan,SSA,ESA,Least Developed,29,30,28,23,43,9,16,16,39,69,MICS 2014,2014
SUR,Suriname,LAC,LAC,Less Developed,31,39,22,20,35,8,16,32,42,59,MICS 2018,2018
SWE,Sweden,ECA,WE,More Developed,,,,,,,,,,,,
CHE,Switzerland,ECA,WE,More Developed,,,,,,,,,,,,
SYR,Syrian Arab Republic,MENA,MENA,Less Developed,,,,,,,,,,,,
TJK,Tajikistan,ECA,EECA,Less Developed,80,74,87,80,82,80,78,77,83,84,DHS 2017,2017
THA,Thailand,EAP,EAP,Less Developed,70,77,62,68,71,53,64,66,78,87,MICS 2019,2019
TLS,Timor-Leste,EAP,EAP,Least Developed,38,44,32,26,62,12,20,29,47,69,DHS 2016,2016
TGO,Togo,SSA,WCA,Least Developed,24,20,27,13,37,7,7,16,29,48,MICS 2017,2017
TKL,Tokelau,EAP,EAP,Not Classified,,,,,,,,,,,,
TON,Tonga,EAP,EAP,Less Developed,55,64,45,54,62,44,45,57,61,71,MICS 2019,2019
TTO,Trinidad and Tobago,LAC,LAC,Less Developed,,,,,,,,,,,,
TUN,Tunisia,MENA,MENA,Less Developed,59,69,50,44,67,37,47,59,72,85,MICS 2018,2018
TUR,Turkey,ECA,EECA,Less Developed,,,,,,,,,,,,
TKM,Turkmenistan,ECA,EECA,Less Developed,95,96,95,95,97,95,95,95,95,96,MICS 2015-16,2016
TCA,Turks and Caicos Islands,LAC,LAC,Not Classified,,,,,,,,,,,,
TUV,Tuvalu,EAP,EAP,Least Developed,,,,,,,,,,,,
UGA,Uganda,SSA,ESA,Least Developed,8,7,9,5,17,1,3,2,9,21,DHS 2016,2016
UKR,Ukraine,ECA,EECA,More Developed,65,70,60,59,67,61,63,51,66,78,MICS 2012,2012
ARE,United Arab Emirates,MENA,MENA,Less Developed,,,,,,,,,,,,
GBR,United Kingdom,ECA,WE,More Developed,,,,,,,,,,,,
TZA,United Republic of Tanzania,SSA,ESA,Least Developed,3,3,3,1,7,0,0,1,3,9,DHS 2015-16,2016
USA,United States,NA,NA,More Developed,,,,,,,,,,,,
URY,Uruguay,LAC,LAC,Less Developed,42,54,33,43,42,23,38,34,58,71,MICS 2012-13,2013
UZB,Uzbekistan,ECA,EECA,Less Developed,,,,,,,,,,,,
VUT,Vanuatu,EAP,EAP,Least Developed,,,,,,,,,,,,
VEN,Venezuela (Bolivarian Republic of),LAC,LAC,Less Developed,,,,,,,,,,,,
VNM,Viet Nam,EAP,EAP,Less Developed,71,74,67,67,79,40,67,74,85,93,MICS 2014,2014
YEM,Yemen,MENA,MENA,Least Developed,29,25,34,22,47,9,19,27,34,55,DHS 2013,2013
ZMB,Zambia,SSA,ESA,Least Developed,29,29,30,15,48,5,10,20,34,65,DHS 2018,2018
ZWE,Zimbabwe,SSA,ESA,Less Developed,37,36,37,32,49,23,31,36,40,55,MICS 2019,2019
