ISO3,Countries and areas,Region,Sub-region,Development Regions,Total,Female,Male,Rural,Urban,Poorest,Second,Middle,Fourth,Richest,Data source,Time period,Population data,,,,,
BEN,Benin,SSA,WCA,Least Developed,32,35,28,38,21,59,39,30,15,7,DHS 2017-18,2018,348,177,172,183,164.7236642,47%
BTN,Bhutan,SA,SA,Least Developed,8,7,9,10,3,15,11,6,4,3,MICS 2010,2010,12,6,6,7,5.017464111,41%
BOL,Bolivia (Plurinational State of),LAC,LAC,Less Developed,,,,,,,,,,,,,237,121,116,73,164.7276083,69%
BIH,Bosnia and Herzegovina,ECA,EECA,More Developed,3,4,2,3,3,7,1,3,1,3,MICS 2011-12,2012,31,16,15,16,15.04476862,48%
BWA,Botswana,SSA,ESA,Less Developed,1,1,1,1,1,,,,,,Botswana Demographic Survey 2017,2017,54,27,27,17,37.62610366,69%
BRA,Brazil,LAC,LAC,Less Developed,0,0,1,1,0,1,1,0,0,0,PNAD 2019,2019,2921,1494,1427,392,2528.704624,87%
VGB,British Virgin Islands,LAC,LAC,Not Classified,,,,,,,,,,,,,,,,0,0,48%
BRN,Brunei Darussalam,EAP,EAP,Less Developed,,,,,,,,,,,,,7,4,3,2,5.515559142,78%
BGR,Bulgaria,ECA,EECA,More Developed,,,,,,,,,,,,,68,35,33,17,50.7422201,75%
BFA,Burkina Faso,SSA,WCA,Least Developed,48,50,46,55,17,69,58,50,40,15,DHS 2010,2010,633,322,311,447,185.9590829,29%
BDI,Burundi,SSA,ESA,Least Developed,18,18,18,19,6,36,21,14,11,6,DHS 2016-17,2017,366,184,182,318,47.68109737,13%
CPV,Cabo Verde,SSA,WCA,Less Developed,,,,,,,,,,,,,11,5,5,4,7.052324966,66%
KHM,Cambodia,EAP,EAP,Least Developed,6,5,7,7,3,13,8,4,3,2,DHS 2014,2014,354,180,174,271,82.73720114,23%
CMR,Cameroon,SSA,WCA,Less Developed,15,17,14,24,6,37,18,10,4,2,DHS 2018,2018,766,387,379,334,431.7252504,56%
CAN,Canada,NA,NA,More Developed,,,,,,,,,,,,,393,201,192,73,320.1616755,81%
CAF,Central African Republic,SSA,WCA,Least Developed,26,31,21,33,13,42,36,26,17,8,MICS 2010,2010,141,71,70,83,58.52052688,41%
TCD,Chad,SSA,WCA,Least Developed,50,53,47,55,28,55,53,57,55,24,DHS 2014-15,2015,524,263,261,403,120.7171555,23%
CHL,Chile,LAC,LAC,Less Developed,1,1,2,1,2,,,,,,CASEN 2017,2017,253,129,124,31,221.3435412,88%
CHN,China,EAP,EAP,Less Developed,5,5,5,5,5,,,,,,National Population Sample Survey 2015,2015,17423,9285,8138,7117,10306.02798,59%
COL,Colombia,LAC,LAC,Less Developed,2,2,2,2,2,3,2,1,1,2,DHS 2015,2015,738,378,361,142,596.359647,81%
COM,Comoros,SSA,ESA,Least Developed,14,15,14,17,9,28,18,10,4,4,DHS 2012,2012,23,12,12,17,6.790630408,29%
COG,Congo,SSA,WCA,Less Developed,3,3,3,6,2,8,4,2,1,1,MICS 2014-15,2015,157,79,78,52,105.2938468,67%
COK,Cook Islands,EAP,EAP,Less Developed,,,,,,,,,,,,,,,,0,0,75%
CRI,Costa Rica,LAC,LAC,Less Developed,1,1,1,1,1,1,2,2,1,0,MICS 2018,2018,72,37,35,15,56.83566851,79%
CIV,Côte d'Ivoire,SSA,WCA,Less Developed,23,26,21,29,15,38,29,23,13,6,MICS 2016,2016,41,21,20,20,20.6130349,51%
HRV,Croatia,ECA,EECA,More Developed,,,,,,,,,,,,,127,65,62,55,72.29439047,57%
CUB,Cuba,LAC,LAC,Less Developed,,,,,,,,,,,,,13,7,7,3,10.36298551,77%
CYP,Cyprus,ECA,WE,More Developed,,,,,,,,,,,,,109,56,53,36,72.72517553,67%
CZE,Czechia,ECA,WE,More Developed,,,,,,,,,,,,,747,375,371,196,550.9403502,74%
PRK,Democratic People's Republic of Korea,EAP,EAP,Less Developed,3,3,3,4,3,,,,,,MICS 2017,2017,336,172,164,128,207.9883166,62%
COD,Democratic Republic of the Congo,SSA,WCA,Least Developed,22,22,21,28,13,35,29,21,15,6,MICS 2017-18,2018,2839,1432,1407,1577,1262.175558,44%
DNK,Denmark,ECA,WE,More Developed,,,,,,,,,,,,,58,30,28,7,50.6840079,88%
DJI,Djibouti,SSA,ESA,Least Developed,,,,,,,,,,,,,20,10,10,4,15.64330871,78%
DMA,Dominica,LAC,LAC,Less Developed,,,,,,,,,,,,,,,,0,0,70%
DOM,Dominican Republic,LAC,LAC,Less Developed,3,2,4,3,3,6,4,2,3,1,MICS 2014,2014,200,102,98,38,162.4808237,81%
ECU,Ecuador,LAC,LAC,Less Developed,1,2,1,1,2,,,,,,GEPH-ENEMDU-DICIEMBRE - 2019,2019,325,166,159,118,207.6039038,64%
EGY,Egypt,MENA,MENA,Less Developed,3,3,3,3,3,5,4,2,2,2,DHS 2014,2014,2579,1329,1250,1477,1101.140934,43%
SLV,El Salvador,LAC,LAC,Less Developed,4,3,4,5,3,8,4,2,2,0,MICS 2014,2014,114,59,56,32,82.43267308,72%
GNQ,Equatorial Guinea,SSA,WCA,Less Developed,,,,,,,,,,,,,35,18,17,10,24.95205865,72%
ERI,Eritrea,SSA,ESA,Least Developed,,,,,,,,,,,,,94,48,46,57,37.8749158,40%
EST,Estonia,ECA,WE,More Developed,,,,,,,,,,,,,15,8,7,5,10.25142664,69%
SWZ,Eswatini,SSA,ESA,Less Developed,1,1,2,2,1,2,2,1,2,0,MICS 2014,2014,28,14,14,28,,
ETH,Ethiopia,SSA,ESA,Least Developed,25,25,26,27,9,41,30,22,19,9,DHS 2016,2016,3056,1548,1508,2421,634.4272212,21%
FJI,Fiji,EAP,EAP,Less Developed,,,,,,,,,,,,,18,9,9,8,10.05655409,56%
FIN,Finland,ECA,WE,More Developed,,,,,,,,,,,,,61,31,30,9,52.16997884,85%
FRA,France,ECA,WE,More Developed,,,,,,,,,,,,,775,396,379,152,623.3393677,80%
GAB,Gabon,SSA,WCA,Less Developed,4,3,4,5,4,8,4,1,2,3,DHS 2012,2012,58,29,29,6,52.03380314,89%
GMB,Gambia,SSA,WCA,Least Developed,27,27,28,35,18,32,34,32,23,10,DHS 2013,2013,71,36,35,27,43.50263613,61%
GEO,Georgia,ECA,EECA,Less Developed,1,1,1,2,1,2,2,1,1,1,MICS 2018,2018,58,30,28,24,33.93513194,59%
DEU,Germany,ECA,WE,More Developed,,,,,,,,,,,,,758,390,368,172,585.8104778,77%
GHA,Ghana,SSA,WCA,Less Developed,7,6,7,8,4,16,6,4,3,1,MICS 2017-18,2018,797,407,390,350,446.6565139,56%
GRC,Greece,ECA,WE,More Developed,,,,,,,,,,,,,91,47,44,19,71.73882141,79%
GRD,Grenada,LAC,LAC,Less Developed,,,,,,,,,,,,,2,1,1,1,0.659792346,36%
GTM,Guatemala,LAC,LAC,Less Developed,6,6,5,6,4,9,7,5,2,2,DHS 2014-15,2015,396,202,194,194,202.2806283,51%
GIN,Guinea,SSA,WCA,Least Developed,34,37,31,44,14,55,43,38,22,11,DHS 2018,2018,374,188,186,239,135.2260158,36%
GNB,Guinea-Bissau,SSA,WCA,Least Developed,28,26,29,36,11,38,39,34,19,6,MICS 2018-19,2019,57,29,28,32,24.75386808,43%
GUY,Guyana,LAC,LAC,Less Developed,1,1,1,1,1,2,0,0,0,1,MICS 2014,2014,15,8,7,11,3.994971837,27%
HTI,Haiti,LAC,LAC,Least Developed,8,8,9,11,4,21,8,4,3,2,DHS 2016-17,2017,250,127,123,112,138.2932657,55%
VAT,Holy See,ECA,WE,Not Classified,,,,,,,,,,,,,,,,0,0,100%
HND,Honduras,LAC,LAC,Less Developed,7,6,7,7,6,7,5,4,5,14,Encuesta Permanente de Hogares 2018,2018,197,101,96,85,112.4666347,57%
HUN,Hungary,ECA,WE,More Developed,,,,,,,,,,,,,89,46,44,26,63.72118664,71%
ISL,Iceland,ECA,WE,More Developed,,,,,,,,,,,,,4,2,2,0,4.184990648,94%
IND,India,SA,SA,Less Developed,6,6,6,7,4,13,6,4,3,1,DHS 2015-16,2016,23274,12203,11071,15354,7919.912439,34%
IDN,Indonesia,EAP,EAP,Less Developed,1,1,1,1,0,1,1,1,1,0,National Socio-Economic Survey 2018,2018,4872,2488,2384,2177,2695.34246,55%
IRN,Iran (Islamic Republic of),MENA,MENA,Less Developed,,,,,,,,,,,,,1414,729,685,355,1058.990184,75%
IRQ,Iraq,MENA,MENA,Less Developed,8,10,7,11,7,16,8,8,4,3,MICS 2018,2018,1075,552,522,317,757.2543975,70%
IRL,Ireland,ECA,WE,More Developed,,,,,,,,,,,,,69,35,34,25,43.58983238,63%
ISR,Israel,MENA,MENA,More Developed,,,,,,,,,,,,,168,86,82,13,155.0408133,92%
ITA,Italy,ECA,WE,More Developed,,,,,,,,,,,,,523,269,253,154,368.087557,70%
JAM,Jamaica,LAC,LAC,Less Developed,0,0,1,1,0,1,0,1,0,0,MICS 2011,2011,47,24,23,21,26.36061645,56%
JPN,Japan,EAP,EAP,More Developed,,,,,,,,,,,,,1071,550,521,90,980.8038746,92%
JOR,Jordan,MENA,MENA,Less Developed,3,2,3,2,3,4,2,2,3,2,DHS 2017-18,2018,232,118,113,21,210.7799829,91%
KAZ,Kazakhstan,ECA,EECA,Less Developed,0,0,0,0,1,0,0,1,1,1,MICS 2015,2015,399,205,194,170,229.1276275,57%
KEN,Kenya,SSA,ESA,Less Developed,5,5,5,5,3,14,2,1,2,2,DHS 2014,2014,1400,705,695,1022,378.4415912,27%
KIR,Kiribati,EAP,EAP,Least Developed,3,2,4,2,4,3,2,4,4,2,MICS 2018-19,2019,3,2,1,1,1.553056252,54%
KWT,Kuwait,MENA,MENA,Less Developed,,,,,,,,,,,,,63,33,30,0,62.989,100%
KGZ,Kyrgyzstan,ECA,EECA,Less Developed,1,1,1,1,1,2,2,1,0,1,MICS 2018,2018,155,79,76,99,56.39679078,36%
LAO,Lao People's Democratic Republic,EAP,EAP,Least Developed,8,8,8,10,3,19,7,4,2,1,MICS 2017,2017,155,79,76,100,54.11568494,35%
LVA,Latvia,ECA,WE,More Developed,,,,,,,,,,,,,19,10,9,6,12.86245114,68%
LBN,Lebanon,MENA,MENA,Less Developed,,,,,,,,,,,,,121,63,58,14,107.1786986,89%
LSO,Lesotho,SSA,ESA,Least Developed,3,2,4,3,3,5,2,2,3,1,MICS 2018,2018,47,23,23,34,13.15412089,28%
LBR,Liberia,SSA,WCA,Least Developed,17,17,18,23,14,32,23,16,10,7,DHS 2013,2013,138,71,68,68,70.82424604,51%
LBY,Libya,MENA,MENA,Less Developed,,,,,,,,,,,,,133,68,65,26,106.5003704,80%
LIE,Liechtenstein,ECA,WE,More Developed,,,,,,,,,,,,,,,,0,0,14%
LTU,Lithuania,ECA,WE,More Developed,,,,,,,,,,,,,31,16,15,10,21.12727187,68%
LUX,Luxembourg,ECA,WE,More Developed,,,,,,,,,,,,,7,3,3,1,5.988392288,91%
MDG,Madagascar,SSA,ESA,Least Developed,22,19,24,24,11,44,30,14,7,3,MICS 2018,2018,747,377,369,469,277.6449784,37%
MWI,Malawi,SSA,ESA,Least Developed,6,5,6,6,2,10,7,5,3,2,DHS 2015-16,2016,554,280,274,460,93.84207632,17%
MYS,Malaysia,EAP,EAP,Less Developed,,,,,,,,,,,,,508,261,246,122,385.9628963,76%
MDV,Maldives,SA,SA,Less Developed,1,1,1,1,1,1,1,1,1,1,DHS 2016-17,2017,8,4,4,5,3.029793344,40%
MLI,Mali,SSA,WCA,Least Developed,47,50,45,55,18,74,59,50,34,16,MICS 2015,2015,635,323,312,366,268.965984,42%
MLT,Malta,ECA,WE,More Developed,,,,,,,,,,,,,4,2,2,0,4.114685495,95%
MHL,Marshall Islands,EAP,EAP,Less Developed,,,,,,,,,,,,,,,,0,0,77%
MRT,Mauritania,SSA,WCA,Least Developed,42,40,44,51,29,58,53,39,31,17,MICS 2015,2015,127,65,63,59,68.38989944,54%
MUS,Mauritius,SSA,ESA,Less Developed,,,,,,,,,,,,,13,7,6,8,5.378183029,41%
MEX,Mexico,LAC,LAC,Less Developed,1,1,1,2,1,,,,,,ENIGH 2018,2018,2247,1149,1098,446,1800.940566,80%
FSM,Micronesia (Federated States of),EAP,EAP,Less Developed,,,,,,,,,,,,,2,1,1,0,0,0%
MCO,Monaco,ECA,WE,More Developed,,,,,,,,,,,,,,,,0,0,100%
MNG,Mongolia,EAP,EAP,Less Developed,4,3,5,3,4,3,4,4,4,3,MICS 2018,2018,75,38,37,24,51.58799855,68%
MNE,Montenegro,ECA,EECA,More Developed,3,3,4,3,4,8,2,2,3,1,MICS 2018,2018,7,4,4,2,4.87805089,67%
MSR,Montserrat,LAC,LAC,Not Classified,,,,,,,,,,,,,,,,0,0,9%
MAR,Morocco,MENA,MENA,Less Developed,,,,,,,,,,,,,698,358,340,262,435.8152338,62%
MOZ,Mozambique,SSA,ESA,Least Developed,23,23,23,27,12,36,32,25,16,5,DHS 2011,2011,936,470,466,599,337.0026766,36%
MMR,Myanmar,EAP,EAP,Least Developed,6,7,5,7,3,14,5,3,3,2,DHS 2015-16,2016,889,448,441,617,271.9219391,31%
NAM,Namibia,SSA,ESA,Less Developed,4,4,5,6,2,8,5,4,2,1,DHS 2013,2013,64,32,32,32,32.02679066,50%
NRU,Nauru,EAP,EAP,Less Developed,3,2,3,,,,,,,,Population and Housing Census 2011,2011,,,,0,0,100%
NPL,Nepal,SA,SA,Least Developed,6,7,5,6,5,6,6,8,5,1,MICS 2019,2019,545,275,270,438,107.6555275,20%
NLD,Netherlands,ECA,WE,More Developed,,,,,,,,,,,,,177,91,86,15,162.3656338,91%
NZL,New Zealand,EAP,EAP,More Developed,,,,,,,,,,,,,61,31,30,8,52.71353779,87%
NIC,Nicaragua,LAC,LAC,Less Developed,,,,,,,,,,,,,133,68,65,55,77.84813298,59%
NER,Niger,SSA,WCA,Least Developed,49,54,45,55,17,65,60,55,43,18,DHS 2012,2012,797,405,392,666,130.9618773,16%
NGA,Nigeria,SSA,WCA,Less Developed,28,29,27,39,11,64,36,17,6,3,DHS 2018,2018,6203,3172,3031,3080,3122.739886,50%
NIU,Niue,EAP,EAP,Less Developed,,,,,,,,,,,,,,,,0,0,45%
MKD,North Macedonia,ECA,EECA,More Developed,2,1,2,1,2,3,3,1,1,0,MICS 2018-19,2019,23,12,11,10,13.55354312,58%
NOR,Norway,ECA,WE,More Developed,,,,,,,,,,,,,62,32,30,11,50.86881236,82%
OMN,Oman,MENA,MENA,Less Developed,3,2,3,3,2,,,,,,MICS 2014,2014,79,40,39,12,66.7345346,85%
PAK,Pakistan,SA,SA,Less Developed,23,27,19,28,12,50,24,14,8,4,DHS 2017-18,2018,5313,2759,2554,3365,1947.897589,37%
PLW,Palau,EAP,EAP,Less Developed,,,,,,,,,,,,,,,,0,0,80%
PAN,Panama,LAC,LAC,Less Developed,1,1,1,1,1,2,2,0,0,0,MICS 2013,2013,78,40,38,25,52.50821732,68%
PNG,Papua New Guinea,EAP,EAP,Less Developed,,,,,,,,,,,,,211,109,102,183,27.78388184,13%
PRY,Paraguay,LAC,LAC,Less Developed,1,1,1,1,0,2,0,0,0,0,Encuesta Permanente de Hogares 2017,2017,137,70,67,53,84.28406366,62%
PER,Peru,LAC,LAC,Less Developed,3,2,3,2,3,3,3,2,2,2,DHS 2012,2012,524,265,259,116,408.3800187,78%
PHL,Philippines,EAP,EAP,Less Developed,2,2,3,2,2,4,2,2,1,1,DHS 2017,2017,2296,1179,1117,1219,1077.103639,47%
POL,Poland,ECA,WE,More Developed,,,,,,,,,,,,,381,195,186,152,228.8079586,60%
PRT,Portugal,ECA,WE,More Developed,,,,,,,,,,,,,86,44,42,30,56.09842469,65%
QAT,Qatar,MENA,MENA,Less Developed,3,2,3,,,1,1,1,0,1,MICS 2012,2012,27,14,13,0,26.99057031,99%
KOR,Republic of Korea,EAP,EAP,Less Developed,,,,,,,,,,,,,450,231,219,83,366.4278658,81%
MDA,Republic of Moldova,ECA,EECA,More Developed,1,1,1,0,1,1,1,1,1,0,MICS 2012,2012,45,23,22,26,19.01615426,43%
ROU,Romania,ECA,EECA,More Developed,8,9,8,,,,,,,,Institute of Educational Sciences and UNICEF 2015-2016,2016,187,96,91,86,101.1350496,54%
RUS,Russian Federation,ECA,EECA,More Developed,,,,,,,,,,,,,1879,965,914,480,1398.255199,74%
RWA,Rwanda,SSA,ESA,Least Developed,6,4,7,6,4,12,6,4,3,3,DHS 2014-15,2015,335,168,167,278,57.717322,17%
KNA,Saint Kitts and Nevis,LAC,LAC,Less Developed,,,,,,,,,,,,,,,,0,0,31%
LCA,Saint Lucia,LAC,LAC,Less Developed,0,1,0,0,0,1,0,0,0,0,MICS 2012,2012,2,1,1,2,0.417251571,19%
VCT,Saint Vincent and the Grenadines,LAC,LAC,Less Developed,,,,,,,,,,,,,2,1,1,1,0.861786044,52%
WSM,Samoa,EAP,EAP,Less Developed,,,,,,,,,,,,,5,3,2,4,0.930041063,18%
SMR,San Marino,ECA,WE,More Developed,,,,,,,,,,,,,,,,0,0,97%
STP,Sao Tome and Principe,SSA,WCA,Least Developed,3,3,4,4,3,5,5,3,3,1,MICS 2014,2014,6,3,3,2,4.501416343,73%
SAU,Saudi Arabia,MENA,MENA,Less Developed,,,,,,,,,,,,,606,308,298,98,508.302101,84%
SEN,Senegal,SSA,WCA,Least Developed,39,38,40,51,20,56,47,37,31,14,DHS 2019,2019,496,252,245,262,234.2522016,47%
SRB,Serbia,ECA,EECA,More Developed,1,0,1,1,0,0,3,0,0,0,MICS 2014,2014,87,45,42,38,48.92717785,56%
SYC,Seychelles,SSA,ESA,Less Developed,,,,,,,,,,,,,2,1,1,1,0.911012999,57%
SLE,Sierra Leone,SSA,WCA,Least Developed,17,15,20,24,8,34,22,14,9,6,MICS 2017,2017,218,109,109,126,91.52008552,42%
SGP,Singapore,EAP,EAP,Less Developed,,,,,,,,,,,,,43,22,21,0,43.465,100%
SVK,Slovakia,ECA,WE,More Developed,,,,,,,,,,,,,56,29,28,26,30.26799733,54%
SVN,Slovenia,ECA,WE,More Developed,,,,,,,,,,,,,22,11,11,10,11.86532121,55%
SLB,Solomon Islands,EAP,EAP,Least Developed,,,,,,,,,,,,,19,10,9,15,4.569245717,24%
SOM,Somalia,SSA,ESA,Least Developed,,,,,,,,,,,,,494,249,245,272,221.9451491,45%
ZAF,South Africa,SSA,ESA,Less Developed,1,1,1,1,1,2,1,1,1,0,DHS 2016,2016,1170,592,578,393,776.0339578,66%
SSD,South Sudan,SSA,ESA,Least Developed,72,75,70,78,56,86,84,77,65,44,MICS 2010,2010,320,162,158,257,62.76406891,20%
ESP,Spain,ECA,WE,More Developed,,,,,,,,,,,,,432,222,210,85,347.0574219,80%
LKA,Sri Lanka,SA,SA,Less Developed,2,2,2,2,3,2,2,2,3,2,DHS 2016,2016,335,171,165,273,61.9778178,18%
PSE,State of Palestine,MENA,MENA,Less Developed,1,1,1,1,1,1,1,1,0,1,MICS 2014,2014,137,70,67,33,104.6058047,76%
SDN,Sudan,SSA,ESA,Least Developed,21,21,20,27,6,41,33,15,5,1,MICS 2014,2014,1182,599,582,772,409.30981,35%
SUR,Suriname,LAC,LAC,Less Developed,2,2,3,3,2,5,2,1,1,2,MICS 2018,2018,11,5,5,4,6.989759436,66%
SWE,Sweden,ECA,WE,More Developed,,,,,,,,,,,,,119,61,58,15,103.7116298,87%
CHE,Switzerland,ECA,WE,More Developed,,,,,,,,,,,,,87,44,42,23,63.84948064,74%
SYR,Syrian Arab Republic,MENA,MENA,Less Developed,,,,,,,,,,,,,345,176,169,158,186.6705623,54%
TJK,Tajikistan,ECA,EECA,Less Developed,2,2,2,2,2,2,2,2,1,2,DHS 2017,2017,245,126,119,179,66.51422789,27%
THA,Thailand,EAP,EAP,Less Developed,1,1,1,1,1,1,1,1,2,1,MICS 2019,2019,758,390,368,379,378.6289354,50%
TLS,Timor-Leste,EAP,EAP,Least Developed,10,9,10,11,4,18,12,7,5,3,DHS 2016,2016,31,16,15,22,9.506360062,31%
TGO,Togo,SSA,WCA,Least Developed,8,9,8,11,3,17,10,4,2,3,MICS 2017,2017,229,115,114,133,95.37667797,42%
TKL,Tokelau,EAP,EAP,Not Classified,,,,,,,,,,,,,,,,0,0,0%
TON,Tonga,EAP,EAP,Less Developed,4,4,4,4,3,5,3,3,4,3,MICS 2019,2019,2,1,1,2,0.577820619,23%
TTO,Trinidad and Tobago,LAC,LAC,Less Developed,1,1,1,1,1,2,1,1,1,0,MICS 2011,2011,19,10,9,9,10.00819912,53%
TUN,Tunisia,MENA,MENA,Less Developed,3,3,3,3,3,4,3,3,3,2,MICS 2018,2018,209,108,102,65,144.1262274,69%
TUR,Turkey,ECA,EECA,Less Developed,4,3,5,4,4,7,3,3,4,2,DHS style 2013,2013,1374,703,671,342,1032.827479,75%
TKM,Turkmenistan,ECA,EECA,Less Developed,1,2,1,1,1,2,1,1,1,0,MICS 2015-16,2016,141,71,69,68,72.66561391,52%
TCA,Turks and Caicos Islands,LAC,LAC,Not Classified,,,,,,,,,,,,,,,,0,0,93%
TUV,Tuvalu,EAP,EAP,Least Developed,,,,,,,,,,,,,,,,0,0,62%
UGA,Uganda,SSA,ESA,Least Developed,8,8,9,9,6,20,8,5,4,3,DHS 2016,2016,1447,730,717,1103,343.9383157,24%
UKR,Ukraine,ECA,EECA,More Developed,2,2,2,3,1,2,3,2,1,1,MICS 2012,2012,490,253,238,150,340.159224,69%
ARE,United Arab Emirates,MENA,MENA,Less Developed,,,,,,,,,,,,,104,53,51,14,89.98771699,87%
GBR,United Kingdom,ECA,WE,More Developed,,,,,,,,,,,,,817,419,399,136,681.6299979,83%
TZA,United Republic of Tanzania,SSA,ESA,Least Developed,16,14,18,19,7,32,21,12,7,4,DHS 2015-16,2016,1730,875,855,1146,584.3504096,34%
USA,United States,NA,NA,More Developed,,,,,,,,,,,,,3956,2022,1934,0,0,0%
URY,Uruguay,LAC,LAC,Less Developed,1,1,1,0,1,1,0,0,3,1,MICS 2012-13,2013,48,24,23,2,45.40282093,95%
UZB,Uzbekistan,ECA,EECA,Less Developed,,,,,,,,,,,,,659,338,321,327,332.9002798,50%
VUT,Vanuatu,EAP,EAP,Least Developed,,,,,,,,,,,,,8,4,4,6,1.965777241,25%
VEN,Venezuela (Bolivarian Republic of),LAC,LAC,Less Developed,,,,,,,,,,,,,546,279,267,64,481.5820971,88%
VNM,Viet Nam,EAP,EAP,Less Developed,2,2,1,2,1,5,1,0,1,1,MICS 2014,2014,1536,811,725,984,551.5500986,36%
YEM,Yemen,MENA,MENA,Least Developed,23,27,19,27,14,44,24,18,16,9,DHS 2013,2013,800,408,392,507,293.0506907,37%
ZMB,Zambia,SSA,ESA,Least Developed,16,13,18,19,9,28,20,15,10,3,DHS 2018,2018,545,275,270,308,237.2490955,44%
ZWE,Zimbabwe,SSA,ESA,Less Developed,5,4,5,5,4,8,4,4,4,2,MICS 2019,2019,453,227,226,307,145.894341,32%
