ISO3,Countries and areas,Region,Sub-region,Development Regions,Total,Female,Male,Rural,Urban,Poorest,Second,Middle,Fourth,Richest,Data source,Time period
BRA,Brazil,LAC,LAC,Less Developed,96,97,95,92,96,92,96,97,98,99,PNAD 2019,2019
VGB,British Virgin Islands,LAC,LAC,Not Classified,,,,,,,,,,,,
BRN,Brunei Darussalam,EAP,EAP,Less Developed,,,,,,,,,,,,
BGR,Bulgaria,ECA,EECA,More Developed,,,,,,,,,,,,
BFA,Burkina Faso,SSA,WCA,Least Developed,31,29,32,21,58,10,17,22,35,60,DHS 2010,2010
BDI,Burundi,SSA,ESA,Least Developed,50,54,46,47,70,26,39,54,57,64,DHS 2016-17,2017
CPV,Cabo Verde,SSA,WCA,Less Developed,,,,,,,,,,,,
KHM,Cambodia,EAP,EAP,Least Developed,73,79,68,71,85,48,64,75,86,90,DHS 2014,2014
CMR,Cameroon,SSA,WCA,Less Developed,74,74,75,58,89,33,64,79,91,96,DHS 2018,2018
CAN,Canada,NA,NA,More Developed,,,,,,,,,,,,
CAF,Central African Republic,SSA,WCA,Least Developed,43,33,54,27,62,14,20,34,54,70,MICS 2010,2010
TCD,Chad,SSA,WCA,Least Developed,27,24,31,19,53,16,18,19,20,57,DHS 2014-15,2015
CHL,Chile,LAC,LAC,Less Developed,96,97,96,96,96,,,,,,CASEN 2017,2017
CHN,China,EAP,EAP,Less Developed,97,97,97,96,98,,,,,,National Population Sample Survey 2015,2015
COL,Colombia,LAC,LAC,Less Developed,93,95,91,87,95,84,92,95,98,98,DHS 2015,2015
COM,Comoros,SSA,ESA,Least Developed,76,77,75,71,86,50,71,80,83,91,DHS 2012,2012
COG,Congo,SSA,WCA,Less Developed,80,82,78,55,90,42,71,85,92,96,MICS 2014-15,2015
COK,Cook Islands,EAP,EAP,Less Developed,,,,,,,,,,,,
CRI,Costa Rica,LAC,LAC,Less Developed,98,99,98,98,98,95,99,98,99,100,MICS 2018,2018
CIV,Côte d'Ivoire,SSA,WCA,Less Developed,56,53,60,39,70,24,49,54,67,75,MICS 2016,2016
HRV,Croatia,ECA,EECA,More Developed,,,,,,,,,,,,
CUB,Cuba,LAC,LAC,Less Developed,99,98,100,100,99,,,,,,MICS 2014,2014
CYP,Cyprus,ECA,WE,More Developed,,,,,,,,,,,,
CZE,Czechia,ECA,WE,More Developed,,,,,,,,,,,,
PRK,Democratic People's Republic of Korea,EAP,EAP,Less Developed,100,100,100,100,100,100,,,,,MICS 2017,2017
COD,Democratic Republic of the Congo,SSA,WCA,Least Developed,67,66,67,53,81,42,53,63,75,93,MICS 2017-18,2018
DNK,Denmark,ECA,WE,More Developed,,,,,,,,,,,,
DJI,Djibouti,SSA,ESA,Least Developed,,,,,,,,,,,,
DMA,Dominica,LAC,LAC,Less Developed,,,,,,,,,,,,
DOM,Dominican Republic,LAC,LAC,Less Developed,91,94,88,86,93,77,90,93,97,99,MICS 2014,2014
ECU,Ecuador,LAC,LAC,Less Developed,98,98,98,98,99,,,,,,GEPH-ENEMDU-DICIEMBRE - 2019,2019
EGY,Egypt,MENA,MENA,Less Developed,91,92,91,90,93,87,89,91,92,97,DHS 2014,2014
SLV,El Salvador,LAC,LAC,Less Developed,86,89,84,81,91,71,83,91,96,97,MICS 2014,2014
GNQ,Equatorial Guinea,SSA,WCA,Less Developed,,,,,,,,,,,,
ERI,Eritrea,SSA,ESA,Least Developed,,,,,,,,,,,,
EST,Estonia,ECA,WE,More Developed,,,,,,,,,,,,
SWZ,Eswatini,SSA,ESA,Less Developed,70,77,64,67,85,54,62,70,84,89,MICS 2014,2014
ETH,Ethiopia,SSA,ESA,Least Developed,47,48,47,40,78,26,30,41,49,75,DHS 2016,2016
FJI,Fiji,EAP,EAP,Less Developed,,,,,,,,,,,,
FIN,Finland,ECA,WE,More Developed,,,,,,,,,,,,
FRA,France,ECA,WE,More Developed,,,,,,,,,,,,
GAB,Gabon,SSA,WCA,Less Developed,71,75,66,33,76,33,67,75,81,91,DHS 2012,2012
GMB,Gambia,SSA,WCA,Least Developed,62,60,64,46,75,49,54,51,67,85,DHS 2013,2013
GEO,Georgia,ECA,EECA,Less Developed,100,100,100,100,100,100,100,100,100,100,MICS 2018,2018
DEU,Germany,ECA,WE,More Developed,,,,,,,,,,,,
GHA,Ghana,SSA,WCA,Less Developed,71,73,69,65,79,52,65,75,81,86,MICS 2017-18,2018
GRC,Greece,ECA,WE,More Developed,,,,,,,,,,,,
GRD,Grenada,LAC,LAC,Less Developed,,,,,,,,,,,,
GTM,Guatemala,LAC,LAC,Less Developed,78,76,80,72,87,56,71,78,91,96,DHS 2014-15,2015
GIN,Guinea,SSA,WCA,Least Developed,45,39,52,27,67,15,28,34,55,73,DHS 2018,2018
GNB,Guinea-Bissau,SSA,WCA,Least Developed,27,25,29,14,47,10,14,17,33,57,MICS 2018-19,2019
GUY,Guyana,LAC,LAC,Less Developed,97,99,96,97,97,94,98,96,99,99,MICS 2014,2014
HTI,Haiti,LAC,LAC,Least Developed,54,58,49,43,70,22,41,53,71,80,DHS 2016-17,2017
VAT,Holy See,ECA,WE,Not Classified,,,,,,,,,,,,
HND,Honduras,LAC,LAC,Less Developed,84,87,81,80,87,76,82,87,88,91,Encuesta Permanente de Hogares 2018,2018
HUN,Hungary,ECA,WE,More Developed,,,,,,,,,,,,
ISL,Iceland,ECA,WE,More Developed,,,,,,,,,,,,
IND,India,SA,SA,Less Developed,91,91,92,91,93,80,91,94,96,99,DHS 2015-16,2016
IDN,Indonesia,EAP,EAP,Less Developed,91,92,91,88,96,85,90,92,95,97,National Socio-Economic Survey 2018,2018
IRN,Iran (Islamic Republic of),MENA,MENA,Less Developed,,,,,,,,,,,,
IRQ,Iraq,MENA,MENA,Less Developed,76,73,78,69,79,54,68,77,87,93,MICS 2018,2018
IRL,Ireland,ECA,WE,More Developed,,,,,,,,,,,,
ISR,Israel,MENA,MENA,More Developed,,,,,,,,,,,,
ITA,Italy,ECA,WE,More Developed,,,,,,,,,,,,
JAM,Jamaica,LAC,LAC,Less Developed,99,100,99,100,99,98,100,100,100,100,MICS 2011,2011
JPN,Japan,EAP,EAP,More Developed,,,,,,,,,,,,
JOR,Jordan,MENA,MENA,Less Developed,96,97,96,97,96,91,97,98,99,97,DHS 2017-18,2018
KAZ,Kazakhstan,ECA,EECA,Less Developed,100,100,100,100,100,100,100,100,100,100,MICS 2015,2015
KEN,Kenya,SSA,ESA,Less Developed,79,82,77,76,87,58,75,84,90,94,DHS 2014,2014
KIR,Kiribati,EAP,EAP,Least Developed,94,96,92,93,96,88,93,96,97,96,MICS 2018-19,2019
KWT,Kuwait,MENA,MENA,Less Developed,,,,,,,,,,,,
KGZ,Kyrgyzstan,ECA,EECA,Less Developed,99,100,99,99,100,100,100,99,99,99,MICS 2018,2018
LAO,Lao People's Democratic Republic,EAP,EAP,Least Developed,83,83,84,79,95,58,80,91,97,98,MICS 2017,2017
LVA,Latvia,ECA,WE,More Developed,,,,,,,,,,,,
LBN,Lebanon,MENA,MENA,Less Developed,,,,,,,,,,,,
LSO,Lesotho,SSA,ESA,Least Developed,80,92,69,74,92,58,77,82,87,96,MICS 2018,2018
LBR,Liberia,SSA,WCA,Least Developed,34,33,36,15,44,10,12,23,39,57,DHS 2013,2013
LBY,Libya,MENA,MENA,Less Developed,,,,,,,,,,,,
LIE,Liechtenstein,ECA,WE,More Developed,,,,,,,,,,,,
LTU,Lithuania,ECA,WE,More Developed,,,,,,,,,,,,
LUX,Luxembourg,ECA,WE,More Developed,,,,,,,,,,,,
MDG,Madagascar,SSA,ESA,Least Developed,56,60,52,50,74,18,38,57,73,89,MICS 2018,2018
MWI,Malawi,SSA,ESA,Least Developed,47,52,43,43,73,25,34,43,54,73,DHS 2015-16,2016
MYS,Malaysia,EAP,EAP,Less Developed,,,,,,,,,,,,
MDV,Maldives,SA,SA,Less Developed,,,,,,,,,,,,
MLI,Mali,SSA,WCA,Least Developed,45,41,50,36,75,16,25,38,55,79,MICS 2015,2015
MLT,Malta,ECA,WE,More Developed,,,,,,,,,,,,
MHL,Marshall Islands,EAP,EAP,Less Developed,,,,,,,,,,,,
MRT,Mauritania,SSA,WCA,Least Developed,63,58,68,54,72,49,51,61,69,86,MICS 2015,2015
MUS,Mauritius,SSA,ESA,Less Developed,,,,,,,,,,,,
MEX,Mexico,LAC,LAC,Less Developed,98,98,98,97,98,,,,,,ENIGH 2018,2018
FSM,Micronesia (Federated States of),EAP,EAP,Less Developed,,,,,,,,,,,,
MCO,Monaco,ECA,WE,More Developed,,,,,,,,,,,,
MNG,Mongolia,EAP,EAP,Less Developed,97,98,96,96,98,93,97,100,99,99,MICS 2013-14,2014
MNE,Montenegro,ECA,EECA,More Developed,96,98,95,98,95,89,95,100,100,98,MICS 2018,2018
MSR,Montserrat,LAC,LAC,Not Classified,,,,,,,,,,,,
MAR,Morocco,MENA,MENA,Less Developed,,,,,,,,,,,,
MOZ,Mozambique,SSA,ESA,Least Developed,41,39,44,25,67,11,15,31,47,78,DHS 2011,2011
MMR,Myanmar,EAP,EAP,Least Developed,83,84,82,81,90,64,84,88,90,92,DHS 2015-16,2016
NAM,Namibia,SSA,ESA,Less Developed,81,86,75,74,89,66,69,82,89,97,DHS 2013,2013
NRU,Nauru,EAP,EAP,Less Developed,,,,,,,,,,,,
NPL,Nepal,SA,SA,Least Developed,82,83,81,79,83,76,79,80,84,96,MICS 2019,2019
NLD,Netherlands,ECA,WE,More Developed,,,,,,,,,,,,
NZL,New Zealand,EAP,EAP,More Developed,,,,,,,,,,,,
NIC,Nicaragua,LAC,LAC,Less Developed,,,,,,,,,,,,
NER,Niger,SSA,WCA,Least Developed,29,24,35,19,61,8,20,17,25,58,DHS 2012,2012
NGA,Nigeria,SSA,WCA,Less Developed,71,71,71,57,87,27,57,79,92,96,DHS 2018,2018
NIU,Niue,EAP,EAP,Less Developed,,,,,,,,,,,,
MKD,North Macedonia,ECA,EECA,More Developed,98,100,97,99,98,97,97,99,100,100,MICS 2018-19,2019
NOR,Norway,ECA,WE,More Developed,,,,,,,,,,,,
OMN,Oman,MENA,MENA,Less Developed,,,,,,,,,,,,
PAK,Pakistan,SA,SA,Less Developed,60,55,64,52,75,28,48,64,78,92,DHS 2017-18,2018
PLW,Palau,EAP,EAP,Less Developed,,,,,,,,,,,,
PAN,Panama,LAC,LAC,Less Developed,95,96,95,88,99,81,98,99,99,100,MICS 2013,2013
PNG,Papua New Guinea,EAP,EAP,Less Developed,,,,,,,,,,,,
PRY,Paraguay,LAC,LAC,Less Developed,94,96,93,91,96,89,93,94,99,98,Encuesta Permanente de Hogares 2017,2017
PER,Peru,LAC,LAC,Less Developed,95,95,95,92,96,88,95,96,97,99,DHS 2012,2012
PHL,Philippines,EAP,EAP,Less Developed,92,95,89,91,93,78,92,94,97,98,DHS 2017,2017
POL,Poland,ECA,WE,More Developed,,,,,,,,,,,,
PRT,Portugal,ECA,WE,More Developed,,,,,,,,,,,,
QAT,Qatar,MENA,MENA,Less Developed,,,,,,,,,,,,
KOR,Republic of Korea,EAP,EAP,Less Developed,,,,,,,,,,,,
MDA,Republic of Moldova,ECA,EECA,More Developed,99,99,99,99,99,97,99,99,100,100,MICS 2012,2012
ROU,Romania,ECA,EECA,More Developed,,,,,,,,,,,,
RUS,Russian Federation,ECA,EECA,More Developed,,,,,,,,,,,,
RWA,Rwanda,SSA,ESA,Least Developed,54,61,48,51,68,33,47,55,60,67,DHS 2014-15,2015
KNA,Saint Kitts and Nevis,LAC,LAC,Less Developed,,,,,,,,,,,,
LCA,Saint Lucia,LAC,LAC,Less Developed,99,99,99,99,100,98,98,100,100,100,MICS 2012,2012
VCT,Saint Vincent and the Grenadines,LAC,LAC,Less Developed,,,,,,,,,,,,
WSM,Samoa,EAP,EAP,Less Developed,,,,,,,,,,,,
SMR,San Marino,ECA,WE,More Developed,,,,,,,,,,,,
STP,Sao Tome and Principe,SSA,WCA,Least Developed,83,86,79,77,85,72,71,79,89,95,MICS 2014,2014
SAU,Saudi Arabia,MENA,MENA,Less Developed,,,,,,,,,,,,
SEN,Senegal,SSA,WCA,Least Developed,47,50,44,34,64,26,39,42,55,75,DHS 2019,2019
SRB,Serbia,ECA,EECA,More Developed,99,100,99,99,100,96,100,100,100,100,MICS 2014,2014
SYC,Seychelles,SSA,ESA,Less Developed,,,,,,,,,,,,
SLE,Sierra Leone,SSA,WCA,Least Developed,64,65,63,45,83,33,40,62,82,87,MICS 2017,2017
SGP,Singapore,EAP,EAP,Less Developed,,,,,,,,,,,,
SVK,Slovakia,ECA,WE,More Developed,,,,,,,,,,,,
SVN,Slovenia,ECA,WE,More Developed,,,,,,,,,,,,
SLB,Solomon Islands,EAP,EAP,Least Developed,,,,,,,,,,,,
SOM,Somalia,SSA,ESA,Least Developed,,,,,,,,,,,,
ZAF,South Africa,SSA,ESA,Less Developed,96,98,95,95,97,91,97,97,99,99,DHS 2016,2016
SSD,South Sudan,SSA,ESA,Least Developed,25,18,31,19,39,7,10,18,30,46,MICS 2010,2010
ESP,Spain,ECA,WE,More Developed,,,,,,,,,,,,
LKA,Sri Lanka,SA,SA,Less Developed,99,99,99,99,99,98,99,99,100,100,DHS 2016,2016
PSE,State of Palestine,MENA,MENA,Less Developed,99,100,99,99,99,99,99,99,100,99,MICS 2014,2014
SDN,Sudan,SSA,ESA,Least Developed,65,64,66,57,81,42,50,58,84,94,MICS 2014,2014
SUR,Suriname,LAC,LAC,Less Developed,85,90,80,77,89,67,82,91,95,98,MICS 2018,2018
SWE,Sweden,ECA,WE,More Developed,,,,,,,,,,,,
CHE,Switzerland,ECA,WE,More Developed,,,,,,,,,,,,
SYR,Syrian Arab Republic,MENA,MENA,Less Developed,,,,,,,,,,,,
TJK,Tajikistan,ECA,EECA,Less Developed,98,98,99,99,97,98,99,99,100,96,DHS 2017,2017
THA,Thailand,EAP,EAP,Less Developed,99,99,98,98,99,97,97,99,99,100,MICS 2019,2019
TLS,Timor-Leste,EAP,EAP,Least Developed,81,85,77,76,92,60,71,78,90,96,DHS 2016,2016
TGO,Togo,SSA,WCA,Least Developed,80,76,83,76,86,62,77,82,87,88,MICS 2017,2017
TKL,Tokelau,EAP,EAP,Not Classified,,,,,,,,,,,,
TON,Tonga,EAP,EAP,Less Developed,98,99,98,99,96,97,98,98,99,99,MICS 2019,2019
TTO,Trinidad and Tobago,LAC,LAC,Less Developed,,,,,,,,,,,,
TUN,Tunisia,MENA,MENA,Less Developed,95,97,94,91,97,88,94,98,97,99,MICS 2018,2018
TUR,Turkey,ECA,EECA,Less Developed,98,98,99,96,99,96,98,99,100,100,DHS style 2013,2013
TKM,Turkmenistan,ECA,EECA,Less Developed,100,100,100,100,100,100,100,99,100,100,MICS 2015-16,2016
TCA,Turks and Caicos Islands,LAC,LAC,Not Classified,,,,,,,,,,,,
TUV,Tuvalu,EAP,EAP,Least Developed,,,,,,,,,,,,
UGA,Uganda,SSA,ESA,Least Developed,41,43,39,36,61,17,25,40,52,69,DHS 2016,2016
UKR,Ukraine,ECA,EECA,More Developed,100,99,100,99,100,100,98,100,100,100,MICS 2012,2012
ARE,United Arab Emirates,MENA,MENA,Less Developed,,,,,,,,,,,,
GBR,United Kingdom,ECA,WE,More Developed,,,,,,,,,,,,
TZA,United Republic of Tanzania,SSA,ESA,Least Developed,80,84,75,74,89,61,68,78,86,94,DHS 2015-16,2016
USA,United States,NA,NA,More Developed,,,,,,,,,,,,
URY,Uruguay,LAC,LAC,Less Developed,97,98,96,97,97,93,100,99,95,100,MICS 2012-13,2013
UZB,Uzbekistan,ECA,EECA,Less Developed,,,,,,,,,,,,
VUT,Vanuatu,EAP,EAP,Least Developed,,,,,,,,,,,,
VEN,Venezuela (Bolivarian Republic of),LAC,LAC,Less Developed,,,,,,,,,,,,
VNM,Viet Nam,EAP,EAP,Less Developed,97,97,96,96,99,90,98,99,99,99,MICS 2014,2014
YEM,Yemen,MENA,MENA,Least Developed,63,55,70,56,79,33,53,66,74,86,DHS 2013,2013
ZMB,Zambia,SSA,ESA,Least Developed,72,73,71,61,87,39,56,75,86,93,DHS 2018,2018
ZWE,Zimbabwe,SSA,ESA,Less Developed,89,92,86,86,97,78,86,89,93,98,MICS 2019,2019
